no,kode,sub_klasifikasi
341,3.04.01,"Alat/ Peralatan/ Suku Cadang: Pemboran dan Paking Bidang Pertambangan Minyak, Gas dan Panas Bumi"
342,3.04.02,"Alat/ Peralatan/ Suku Cadang dan Mesin-mesin Bidang Pertambangan Minyak, Gas dan Panas Bumi"
343,3.04.03,Alat Atau Peralatan Atau Suku Cadang Angkutan dan Packing
344,3.04.04,Kelengkapan Mesin dan Instrumentasi
345,3.04.05,"Alat Atau Peralatan Atau Suku Cadang Bangunan, Tangki dan Peralatan Bengkel"
346,3.04.06,"Pipa, Katup, Sambungan dan Paking Serta Kelengkapannya"
347,3.04.07,Alat - Alat Kerja
348,3.04.08,Garam Industri dan Material Bahan Kimia Khusus Pemboran dan Fasilitas Produksinya
349,3.04.09,Produksi dan Penyekatan
350,3.04.11,"Alat/ Peralatan/ Suku Cadang: Turbin, Boiler, Selubung Sumur dan Pompa Bidang Pertambangan Minyak, Gas dan Panas Bumi"
351,3.04.13,"Alat/ Peralatan Bawah Permukaan (Tubing, Packer, Liner, Mandrel, Sub-surface Safety)"
352,3.04.99,Subbidang Lainnya
353,3.05.,Bidang Telematika
354,3.05.01,Teknologi Informasi
355,3.05.02,Komunikasi Multimedia
356,3.05.03,Telekomunikasi
357,3.05.04,Kontrol dan Instrumentasi
358,3.05.05,Jasa Pemosaok Telekomunikasi Darat
359,3.05.05.01,Sentral
360,3.05.05.02,Transmisi
361,3.05.05.03,Jaringan Telekomunikasi
362,3.05.05.04,Teknologi dan Sistem Informasi
363,3.05.05.05,Networking
364,3.05.05.06,Sistem Pemancar dan Penerima Radio dan Televisi
365,3.05.05.07,Kontrol dan Instrumen
366,3.05.06,Jasa Pemasok Telekomunikasi Satelit
367,3.05.06.01,Sentral
368,3.05.06.02,Transmisi
369,3.05.06.03,Jaringan Telekomunikasi
370,3.05.06.04,Teknologi dan Sistem Informasi
371,3.05.06.05,Networking
372,3.05.06.06,Sistem Pemancar dan Penerimas Radio dan Televisi
373,3.05.06.07,Kontrol dan Instrumen
374,3.05.07,Jasa Pemasok Perangkat Keras
375,3.05.07.01,Komputer
376,3.05.07.02,Printer
377,3.05.07.03,Projector Multimedia
378,3.05.07.04,Input Devices
379,3.05.07.05,Alat Penyimpan Data
380,3.05.07.06,Networking Product
381,3.05.07.07,Accessoris dan Supplies
382,3.05.07.08,Perangkat Sistem Informasi Khusus
383,3.05.08,Jasa Pemasok Konten
384,3.05.08.01,Konten Distance Learning
385,3.05.08.02,Konten Program TV Interactive
386,3.05.08.03,Konten Program Multimedia
387,3.05.08.04,Konten program Portal
388,3.05.09,Jasa Pemasok Aplikasi
389,3.05.09.01,Aplikasi Komputer
390,3.05.09.02,Aplikasi Komunikasi
391,3.05.09.03,Aplikasi Telemetrik
392,3.05.09.04,Aplikasi GIS
393,3.05.09.05,Aplikasi GPS
394,3.05.10,Jasa Pemasok Perangkat Lunak
395,3.05.10.01,Jasa Pemasok Perangkat Lunak: Komputer
396,3.05.10.02,Jasa Pemasok Perangkat Lunak: Printer
397,3.05.10.03,Jasa Pemasok Perangkat Lunak: Projector Multimedia
398,3.05.10.04,Jasa Pemasok Perangkat Lunak: Input Devices
399,3.05.10.05,Jasa Pemasok Perangkat Lunak: Alat Penyimpan Data
400,3.05.10.06,Jasa Pemasok Perangkat Lunak: Networking Product
401,3.05.10.07,Jasa Pemasok Perangkat Lunak: Accecories dan Supplies
402,3.05.10.08,Jasa Pemasok Perangkat Lunak: Perangkat Sistem Informasi Khusus
403,3.05.99,Subbidang Lainnya
404,3.06.,Bidang Perhubungan
405,3.06.01,Alat Atau Peralatan Atau Suku Cadang Kendaraan Bermotor dan Pengujiannya
406,3.06.02,Alat Atau Peralatan Atau Suku Cadang Kereta Api dan Pengujiannya
407,3.06.03,Alat Atau Peralatan Atau Suku Cadang Pesawat Terbang dan Pengujiannya
408,3.06.04,Alat Atau Peralatan Atau Suku Cadang Kapal Laut dan Kapal Penyeberangan dan Pengujiannya
409,3.06.05,Alat Atau Peralatan Atau Suku Cadang  Atau Pendukung Kendaraan Militer atau Polisi
410,3.06.06,Alat Atau Peralatan Atau Suku Cadang Keselamatan Angkutan Darat
411,3.06.06.01,Alat/ Peralatan/ Suku Cadang: Keselamatan Jalan (Rambu-rambu Lalu Lintas dan Asesoris Jalan)
412,3.06.07,Alat Atau Peralatan Atau Suku Cadang Keselamatan Angkutan Laut
413,3.06.08,Alat Atau Peralatan Atau Suku Cadang Angkutan Udara
414,3.06.09,Alat Atau Peralatan Atau Suku Cadang Untuk SAR dan Penyelaman
415,3.06.10,"Alat Atau Peralatan Atau Suku Cadang : Radio, Telekomunikasi dan Elektronika"
416,3.06.11,Alat Atau Peralatan Atau Suku Cadang : Pas
417,3.06.12,Alat Atau Peralatan Atau Suku Cadang : Navigasi Laut
418,3.06.13,Alat Atau Peralatan Atau Suku Cadang : Navigasi Udara
419,3.06.14,"Alat Atau Peralatan Atau Suku Cadang : Meteorologi, Geofisika, Klimatologi, Hidrologi, Radio Cuaca ( Radio Sonde )"
420,3.06.99,Subbidang Lainnya
421,3.07.,Bidang Lain - Lainnya
422,3.07.01,"Alat Atau Peralatan Atau Suku Cadang Kontruksi( Kompresor,Generator Dll,Bahan Bangunan dan logam)"
423,3.07.02,Alat Atau Peralatan Atau Suku Cadang Serta Perlengkapan Listrik Untuk Pembangkit Listrik
424,3.07.02.01,Pembangkit Listrik
425,3.07.02.02,Gardu Induk dan Gardu Distribusi
426,3.07.02.03,Jaringan Transmisi dan Jaringan Distribusi
427,3.07.02.04,Instalasi Pabrik
