no,Merk
528,WAJIB DILENGKAPI
529,Kemang 1 Property
530,Jendela Realty
531,LJ HOOKER INDONESIA
532,MANDIRI INTI REALTY
533,Eastons Semarang
534,Century21 Prestige
535,Global Inti Property
536,PROPNEX PURI
537,LI REALTY
538,578 Property
539,BIRU LESTARI PROPERTY - BLP
540,Ray White Kelapa Gading Barat
541,PRESTIGE SCBD PROPERTY
542,TOMATO BRICKS
543,RITZ Land Property
544,PropNex Kemang
545,9Pro
546,Xavier Marks First Choice Kebayoran
547,VASAPRO REALTY
548,LJ HOOKER THE SAVOY JGC
549,Matrix Property
550,Ray White Pulomas
551,STRATEGIC PROPERTY
552,ROYALTON RESIDENCE
553,LJ HOOKER KELAPA GADING TIMUR
554,Savills
555,PINHOME
556,KNIGHT FRANK
557,Arka Realty
558,HBN GRUP
559,ERA Expert
560,LJ.HOOKER BUARAN
561,Purworejo Realty
562,CENTURY21 NAGAMAS
563,VERONA PROPERTY
564,ERA GRAHA INDAH
565,Blessing Property
566,THOMAS MITRA PROPERTY & INVESTMENT
567,NAI INDONESIA
568,MULTILAND
569,XYNERGY REALTY
570,Peak  Brokerage Property  & Business
571,Bumi Property
572,ATM PROPERTI
573,Smart Property
574,HARCOURTS KELAPA GADING
575,CENTURY21 FAMACO
576,ERA ATLAS
577,HNS PROPERTY
578,Sem Gading Ptoperty
579,Xavier Marks Solo
580,PRIME HOME
581,ERA Inten
582,RAY WHITE DANAU SUNTER
583,Brighton Real Estate
584,ELITE PRO SOLUTIONS
585,ERA Bandung Anjasmoro
586,Era Crown
587,HARCOURTS VIVA PLUIT
588,REDLAND
589,MEGA PRO
590,ERA CAPITAL
591,JAKARTA PRO
592,GOLDLAND PROPERTY
593,Xavier Marks Semarang Candi
594,Home Property
595,Xavier Marks Semarang Kota
596,CELLCON KELAPA GADING
597,Centurion Property Grup
598,MAPRO
599,ERA DEA
600,Vision Property
601,Inpro Realty
602,CENTURY21 METRO 2
603,Ray White Bona Indah Lebak Bulus
604,WECO MARKET
605,RE/MAX KENCANA
606,PT. SINERGY PROPERTY PLUS 	PROPERTY PLUS 	 	 	
607,ULTIMATE PROPERTY
608,PREMIUM ONE PROPERTY
609,MULTILAND PANTAI INDAH KAPUK
610,RE/MAX RITZ
611,URBANACE
612,CekNilai.id
613,LJ Hooker Gading Boulevard
614,JIIVA PROPERTY
615,RAY WHITE PONDOK INDAH ARTERI
616,ParaLand Property
617,Lisa Griya Properti
618,OCASA PROPERTY PERFECTED
