no,reg number,name of establishment,address,products
116,DL 467,"Hoang Nam Co., Ltd.","Quartier 10, Mui Ne Ward, Phan Thiet City, Binh Thuan Province",Frozen
117,DL 468,SEONGJIN VINA,"Lagi Fishing Port, Phuoc Loc Ward, Lagi Town, Binh Thuan Province",Frozen
118,HK 48,Phan Thiet Factory,"77 Vo Thi Sau Street, Hung Long Ward, Phan Thiet City, Binh Thuan Province",Dried
119,HK 393,"Hai Viet Seafood export Co., Ltd","A6 Gate No.2, Phan Thiet Fishing Port, Phan Thiet City, Binh Thuan Province",Dried
120,HK 485,"Hai Tien Trading Co., Ltd.","Lot A, Phan Thiet South Processing Seafood Zone, Phan Thiet City, Binh Thuan Province",Dried
121,HK 497,WORKSHOP DRIED MARINE PRODUCTS â PHU HAI SEAPRODUCTS FACTORY,"41 Nguyen Thong Street, Phan Thiet  City, Binh Thuan Province",Dried
122,DL 498,WORKSHOP FROZEN MARINE PRODUCTS â PHU HAI SEAPRODUCTS FACTORY,"Lot 16, Phan Thiet Fishing Port, Phan Thiet City, Binh Thuan Province",Frozen
123,DL 501,"PHU THUAN LIMITED COMPANY - PHU THUAN Co., LTD","Lien Huong Street, Binh Thanh Village, Tuy Phong District, Binh Thuan Province",Frozen
124,DL 728,"Hai Wang Seafood Co., Ltd","Lot 13 - 14, Phan Thiet Fishing Port, Phan Thiet City, Binh Thuan Province",Frozen
125,HK 522,"TUNG CHAU COMPANY LIMITED (TUNG CHAU Co., Ltd.)","Zone A, South Of Phan Thiet Fishing Port, Phan Thiet City, Binh Thuan Province",Dried
126,DL 38,"Nghe An Seaproducts Import-Export Joint Stock Company (Nghe An Seaprodexim, JSC)","Nghi Hai Ward, Cua Lo Town, Nghe An Province",Frozen
127,DL 11,Quang Binh Seaproducts Import - Export joint stock company - Quang Binh SEAFOOD,"8a Huong Giang Street, Dong Hoi City, Quang Binh Province",Frozen
128,DL 150,"Thanh An Co., Ltd.","No.12, Road 2, Song Than 1 Industrial Zone, Di An District, Binh Duong Province",Frozen; Salted
129,DH 149,Highland Dragon Enterprise,"No. 15, Road No.6, Song Than 1 Industrial Zone, Di An District, Binh Duong Province",Canned
130,DL 317,Seagift Company Ltd. (SEGICO),"7/9-binh Duc 2 Quarter, Binh Hoa Ward, Thuan An Town,  Binh Duong Province",Frozen
131,DL 319,United Seafood Packers Joint Stock Company (USPC),"Lot D1, Road 3, Dong An Industrial Zone, Thuan An District, Binh Duong Province",Frozen
132,DL 455,Highland Dragon Enterprise,"No.15, Road 6, Song Than I Industrial Zone, Di An District, Binh Duong Province",Frozen
133,DL 482,"Viet Trang Co., Ltd.","No.27, Song Than 2 Industrial Zone, Di An District, Binh Duong Province",Frozen
134,HK 233,"Hoa Nam Marine Agricultural Co., Ltd.","14/21a, Truong Son Street, Di An District, Binh Duong Province",Dried
135,TS 718,New Life Health Products Joint Stock Company (NEW LIFE),"Binh Giao Hamlet, Thuan Giao Commune,  Thuan An District, Binh Duong Province",Fish oil
136,DL 34,Export Seaproducts processing Enterprise I (F 34) -Baria Vungtau seafoods processing and import-export joint stock company - BASEAFOOD,"National Road 51a, Phuoc Trung Precinct, Ba Ria Town, Ba Ria Vung Tau Province",Frozen
137,DL 20,Export Seaproducts processing Enterprise II (F 20) -Baria Vungtau seafoods processing and import-export joint stock company - BASEAFOOD,"460 Truong Cong Dinh Street, Ward 8, Vung Tau City, Ba Ria Vung Tau Province",Frozen
138,DL 53,Phuoc Co Seafood Joint Stock Company (PCSE),"1738, 30/4 Street,  Ward 12, Vung Tau City, Ba Ria - Vung Tau Province",Frozen
139,DL 133,"VIFOODS Co., LTD - VIFOOD","Road No.7, Dong Xuyen Industrial Zone, Rach Dua Ward, Vung Tau City, Ba Ria Vung Tau Province",Frozen
140,DL 92,Hai Ha Private enterprise,"1752, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
141,DL 194,Hai Viet Corporation (HAVICO),"167/10 30/4 Street, Thanh Nhat Ward, Vung Tau City, Ba Ria Vung Tau Province",Frozen
142,DL 195,"Eastern Sea Co., Ltd. Brand ESC","1719a, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
143,DL 197,"Anh Nguyen Son Co., Ltd.","61a Phuoc Thang Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
144,DL 266,"Ngoc Tung Co., Ltd.","1589, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
145,DL 272,"ChangHua Viet Nam Seafood Co., Ltd.- VINACHANGHUA","1738, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
146,DL 302,"THU TRONG 1 SEA CO., LTD","My Xuan A Industrial Zone, Tan Thanh District, Ba Ria Vung Tau Province",Frozen
147,DL 286,"Seaproducts Processing Enterprise, ConDao Seaproducts and Import Export Joint Stock Company (COIMEX)","1738, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau  Province",Frozen
148,DL 267,Hai Long seafood joint stock company,"1752, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
149,DL 402,"Duong Ha Processing Trading  Seafood Company Limited  (DUONG HA CO., LTD)","1705, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
150,DL 413,"The Phu Co., LTD.","1743, 30/4 Street, Ward 12, Vung Tau City, Ba Ria Vung Tau Province",Frozen
151,DL 438,"CO MAY FOOD COMPANY LIMITED (CO MAY Co., LTD.)","No.63 30/4 Street, Thang Nhat Ward, Vung Tau City, Ba Ria Vung Tau Province",Frozen
152,DL 464,"TRONG DUC SEAFOOD., PTE","Lang Cat Hamlet, Tan Hai Village, Tan Thanh District, Ba Ria Vung Tau Province",Frozen
153,HK 235,MINH HAI PRIVATE,"Tam Phuoc Commune, Long Dien District, Ba Ria Vung Tau Province",Dried
154,DL 209,Value added seafood processing factory - Triseafood joint stock company (TRISEAFOOD JSC),"Lot 20a, Road No.8, Tan Tao Industrial Zone, Binh Tan District, Ho Chi Minh City",Frozen
155,DL 237,COFIDEC,"32/4 Le Van Khuong Street, Thoi An Ward, District 12, Ho Chi Minh City",Frozen
156,HK 156,Binh Thoi Seafood processing Enterprise - Sai Gon Aquatic products trading joint stock company,"Lot 4-6-8 Road Ia, Tan Tao Industrial Zone, Tan Tao A Ward, Binh Tan District, Ho Chi Minh City",Dried
157,HK 155,Cho Lon Seafood processing Enterprise (Cholifood) - Sai Gon Aquatic products trading joint stock company,"Lot 4-6-8 Road Ia, Tan Tao Industrial Zone, Tan Tao A Ward, Binh Tan District, Ho Chi Minh City",Dried
158,HK 222,Hoang Lai import-export joint stock company (Hoang Lai Im-Ex JSC),"04 Tong Van Tran Street, Ward 5, District 11, Ho Chi Minh City",Dried
159,NM 331,"MINH HA CO., LTD.","Lot C42b/1 Street 7, Vinh Loc Industrial Zone, Binh Chanh  District, Ho Chi Minh City",Fish sauce
160,HK 417,"Thien Tue Co., Ltd.","Road No.4, Tan Binh Industrial Zone, Tay Thanh Ward, Tan Phu District, Ho Chi Minh City",Dried
161,HK 444,"Cho Lon trading producing company limited (Cho Lon Co., LTD)","Hamlet 2a, Tan Thanh Tay Commune, Cu Chi District, Ho Chi Minh City",Dried
162,HK 454,"HUY SON CO., LTD.","63/4b, Tam Dong Hamlet, Thoi Tam Thon Commune, Hoc Mon District, Ho Chi Minh City",Dried
163,HK 715,"DONGTIEN CO., LTD","6, Do Van Day Street, Tan Hoa Hamlet, Tan Hiep Village, Hoc Mon District, Ho Chi Minh City.",Dried
164,NM 469,Lien Thanh seafood processing joint stock company,"595/37 Xo Viet Nghe Tinh Street, Ward 5, District 4, Ho Chi Minh City",Fish sauce
165,SG/001NL,Live seafood factory - HOANG HA international Logistics joint stock company,"Lot Iii-22, Road 19/5a, Tan Binh Industrial Zone, Tan Phu District, Ho Chi Minh City",Alive
166,SG/003NL,"TUONG HUU Co., LTD","Block 4, Street 3 No. 22b, Tan Binh Industrial Park, Tan Phu District, Ho Chi Minh City",Alive
167,79-001-DG,ROYAL LEE VIET NAM IMPORT EXPORT TRADING COMPANY LIMITED,"29/22/7 Nguyen Van Qua Street, Tan Hung Thuan Ward, District 12, Ho Chi Minh City",Alive
168,79-002-DG,"Anh Nhan Trading Production Co.,Ltd (ANPRO)","42/3e, Hamlet 4, Xuan Thoi Thuong Commune, Hoc Mon District, Ho Chi Minh City",Alive
169,79-003-NL,"Hai Thanh processing trading service seaproducts company limited (HT Processing trading Co., Ltd.)","29/22/7 Nguyen Van Qua Street, 6th Quarter, Tan Hung Thuan Ward, District 12, Ho Chi Minh City",Alive
170,79-004-NL,"Branch of south pacific fishery co., Ltd. (SOFIS Co., Ltd.)","47/9 Trinh Thi Mien Street, Thoi Tu Hamlet, Thoi Tam Thon Commune, Hoc Mon District, Ho Chi Minh City",Alive
171,DL 353,"TAN THANH LOI Frozen Food Co., Ltd.","546/1 Binh Cang 1 Small Village, Binh Thanh Village, Thu Thua District, Long An Province",Frozen; Dried
172,DL 404,Frozen Workshop - Yueh Chyang Canned Food Company Limited,"Nhut Chanh Village, Ben Luc District, Long An Province",Frozen
173,DL 443,"SIMMY SEAFOOD Co., Ltd.","Lot B04-1, Duc Hoa 1 Industrial Zone, Duc Hoa District, Long An Province",Frozen
174,DL 472,"Frozen workshop - PACIFIC SEAFOOD Co., Ltd. (PSC)","Lot La-1, Road No.1, Trans-asia Industrial&residential Park, Duc Hoa District, Long An Province",Frozen
175,DL 488,"Hoa Phat Aquatic products processing and trading service Co., Ltd","Hai Son Industrial Park, Binh Tien Ii Hamlet, Duc Hoa Ha Ward, Duc Hoa Street, Long An Province",Frozen
176,DL 719,GN Foods Joint Stock Company (GN FOODS),"Plot P.02b, Center Street, Long Hau Industrial Zone, Long Hau Commune, Can Giuoc District, Long An Province",Frozen
177,DL 738,Quoc Toan Seafood Processing Factory (QUOC TOAN PTE),"Lot Q.1a, Center Road, Long Hau Industrial Zone, Long Hau Ward, Can Giuoc District, Long An Province",Frozen
178,HK 216,"AN LAC SEAFOOD Co., Ltd - ALSF Co., LTD","Lot A14, Road 4a, Hai Son Industrial Zone, Duc Hoa District, Long An Province","""Dried; Alive; 
Live"""
