no,reg number,name of establishment,address,products
58,KID-130,"KOREA COLD STORES CO.,LTD. GAMCHEON PORT FACTORY","214, Wonyang-ro, Seo-gu, Busan, Republic Of Korea",Fishery product
59,KID-133,"DEOK YEON SEAFOOD CO.,LTD.","506, Yongho-ro, Gwangdo-myeon, Tongyeong-si, Gyeongsangnam-do, Republic Of Korea",Fishery product
60,KID-135,"Bu Young Surimi Coldstorage Co.,Ltd",86 Jangnim-ro Saha-gu Busan Republic Of Korea,Fishery product
61,KID-138,"NK FISHERY CO., LTD","244, Wonyang-ro, Seo-gu, Busan, Republic Of Korea",Fishery product
62,0112003-6260004,SUR ESTE 707,-,Fishing vessel (Distant water Trawler fisheries)
63,KID-158,"ARAWOOM. CO.,LTD","506-16, Mangyang-ro Road, Yeosu-si, Jeollanam-do, Republic Of Korea",Fishery product
64,KID-162,"KOREAN SEAFOODS CO.,LTD","32, Gamcheonhang-ro 419beon-gil, Saha-gu, Busan, Republic Of",Fishery product
65,KID-163,"CHEONGHAEINTL CO., LTD","14, Yeonanbudu-ro 75beon-gil, Jung-gu, Incheon, Republic Of Korea",Fishery product
66,KID-017,"SAJO SEAFOOD CO.,LTD SECOND DISTRIBUTION CENTER","79, Wonyang-ro, Seo-gu, Busan",Frozen Fish
67,KID-022,"JEIL C.S. INDUSTRIES CO., LTD","471 Amnamgongwon-ro, Saha-gu, Busan",Frozen Fish
68,KID-027,"KOREA COLD STORES CO., LTD GAMCHUN SECOND  FACTORY","363, Wonyang-ro, Saha-gu, Busan",Frozen Fish
69,KID-028,JEONGIL GLOBAL CORPORATION,"243, Wonyang-ro, Seo-gu, Busan, Korea",Frozen Fish
70,KID-024,"DONGIL COLD STORAGE CO., LTD","10, Dadae-ro 170beon-gil, Saha-gu, Busan-si, Korea",Frozen Fish
71,KID-029,"HANNIL COLD STORAGE CO., LTD SECOND FACTORY","314, Wonyang-ro, Saha-gu, Busan",Frozen Fish
72,KID-030,"DONG YEONG COLD PLAZA CO., LTD","295, Wonyang-ro, Seo-gu, Busan",Frozen Fish
73,KID-035,"DAEJOO CO., LTD","435, Amnamgongwon-ro, Seo-gu, Busan",Frozen Fish
74,KID-037,"YOORIM COLD STORAGE CO., LTD","175,wonyang-ro, Seo-gu, Busan, Republic Of Korea",Frozen Fish
75,KID-038,"DONGNAM CO.,LTD","171, Wonyang-ro, Seo-gu, Busan",Frozen Fish
76,KID-042,HONGLIM FISHERIES REFRIGERATION CO.LTD,"340, Wonyang-ro, Busan, Korea",Frozen Fish
77,KID-043,"CHUNG YUN ICE TECH CO,LTD","250,gamcheonhang-ro, Saha-gu, Busan",Frozen Fish
78,KID-044,"BUSAN HAESARANG CO,LTD","717, Eulsukdo-daero, Saha-gu, Busan",Frozen Fish
79,KID-045,"KOREA COLD STORES CO,LTD. YUNAN FACTORY","197, Songdohaebyeon-ro, Seo-gu, Busan",Frozen Fish
80,KID-105,"WANDOABALONE.CO.,LTD","12, Nonggongdanji 6 Gil, Wando-eup, Wando-gun, Jeollanamdo, Republic Of Korea",Fishery Product
81,KID-148,NURI FISHERY UNION CORPORATION,"38, Nonggongdanji 4-gil, Wando-eup, Wando-gun, Jeollanam-do, Republic Of Korea",
82,KID-117,"HAEDOMULSAN CO.,LTD","47 Goheung-ro, Goheung-gun, Jeollanam-do, Republic Of Korea",Fishery product
83,KID-118,"DONGWON F&B CO., LTD","201, Nammyeon-ro, Seongsan-gu, Changwon-si, Gyeongsangnam-do, Republic Of Korea",Fishery product
84,KID-119,"ASIA COLD STORAGE CO., LTD SECOND FACTORY","224, Wonyang-ro, Seo-gu, Busan, Republic Of Korea",Fishery product
85,KID-120,"Dongwon LOEX Cold Storage Co., Ltd.","351, Sinhang 8-ro ,jinhae-gu, Changwon-si, Gyeongsangnam-do,republic Of  Korea",Fishery product
86,KID-126,HAEDAMON,"1625-17, Sanyangilju-ro, Sanyang-eup, Tongyeong-si, Gyeongsangnam-do, Republic Of Korea",Fishery Product
