no,reg number,name of establishment,address,products
570,3500/02418,"Jinjiang Yaoyuan Aquatic Products Development Co., Ltd.","No33, Haiwei Houshanliao, Huahai Industrial Zone, Shenhu Town, Jinjiang City",Fishery Products
571,3300/02787,"ZheJiang Oceanhealth Food Co., Ltd.","No.8 Lanzhou Road,  Ganlan, Dinghai, Zhoushan City, Zhejiang, P.r. China","""æ°´äº§å
Fishery Products"""
572,4600/02074,"Sanya Shengda Seafood Co.,Ltd.","Room 103, No. 1 Cold Store, Central Fishing Port,yazhou District, Sanya City, Hainan Province,china","""æ°´äº§å
Fishery Products"""
573,2100/02B11,"Dalian Yangyi Food Co.,Ltd.",No.36 Jianshe Street Zhuanghe City Dalian Liaoning China,Fishery Product
574,3700/02E78,"Rongcheng Hengyu Aquatic Co., Ltd.  ","No.589 Mu Yun Xi Road ,shidao,rongcheng, China",Frozen Fish and its products
575,3600/02034,"  Jiangxi Huchen Ecological Technology Co.,Ltd","No.77 Development Road,ecological Food Industrial Park,yugan County ,shangrao City,jiangxi Province",Fishery Products
576,3700/02A14,"Yantai Jiajiaxin Foods Co., Ltd.  ","Qixia Economic Developing Areaï¼area Cï¼,yantai City",Frozen Shellfish/Frozen boiled Shellfish and its products
577,3600/02033,"JIANGXI WAN CUN QUAN FOOD CO.,LTD","West E1 Land Block,yinlu Industrial District,yinchengtown,dexing,shangrao,jiangxi Province,334200 China",Fishery Products
578,3500/02431,"FUJIAN BOKE FOODS CO, LTD","No.1 Xiasu Road, Juyangban Feiluan Town, Jiaocheng District, Ningde, Fujian, China",Fishery Products
579,3700/02869,Yantai Shanhai Foodstuff Co.Ltd,"No.6 Lande Road,laishan District,yantai",Frozen Fish Fillet
580,2100/02348,"Donggang Shengyang Food Co.,Ltd","17 Binhai Avenue,donggang Xincheng District,dandong,liaoning",Fishery Products
581,3300/16018 3300/16018,"Zhoushan Sinomega Biotech Engineering Co., Ltd. Zhoushan Sinomega Biotech Engineering Co., Ltd.","No.1 Xingye Road, Ganlan Town, Dinghai District, Zhoushan City, Zhejiang Province, P.r. China",Fishery Products
582,3300/02813,"Zhoushan Tianjia Aquatic Food Co., Ltd.","5-3-0-1 Pingyang Industrial Zone, Shenjiamen Street, Putuo District, Zhoushan, Zhejiang, China.","Frozen Sea Fish (Fillet) (Including Histamine), Frozen (Cut) Swimming Crab, Frozen Sea Shrimp (Peeled), Frozen Cephalopod"
583,3200/02523,"Sheyang Dinglong Aquatic Food Co., Ltd,","36 Haigang Road, Huangshagang Town, Sheyang County, Yancheng  City,jiangsu Province","Frozen Croaker,Frozen Monkfish, Frozen Octopus,Frozen Crab, Frozen Squid, Salted Shrimp"
584,2100/02828,"Dalian Tianbao Green Foods Co., Ltd","No.624 Sanli Village,yongzheng Street, Jinzhou District, Dalian, China.",Fishery Products
585,3700/02C80,"Qingdao Hechang Foods Co., Ltd","East Of Shuangyuan Road, Chengyang District, Qingdao City, Shandong Province","Frozen Fish Fillets,Frozen Breaded Filletsï¼Frozen Marinaded Filletsï¼Frozen Burgers"
586,3500/02268,"Zhangzhou Hongwei Foods Co.,Ltd","South Of Qiaoxing Road, Wuyuan Administrative District, Huaqiao Economic Development Area, Changshan, Zhangzhou, Fujian, China",Fishery Products
