no,merek dagang,cara pemakaian,pembuat
1306 ,CENTAZOLE 250 EC,"Padi : penyakit bercak daun Cercospora sp., penyakit blas Pyricularia sp., penyakit hawar upih daun  Rhizoctonia sp. (Penyemprotan volume tinggi : 0,5 ml/l)",PT Centa Brasindo Abadi Chemical Industry
1307 ,CENTATIN 200 EC,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 ml/l) Cabai: hama trips Thrips parvispinus (Penyemprotan volume tinggi: 1,5 ml/l)",PT Centa Brasindo Abadi Chemical Industry
1308 ,CENTAXONE 135 SL*,"Kelapa sawit  - gulma berdaun lebar Ageratum conyzoides  Borreria alata Mikania micrantha
- golongan rumput Anoxopus compressus
  Cynodon dactylon Ottochloa nodosa
- alang-alang Imperata cylindrica
 (Penyemprotan volume tinggi 1 - 2 l/ha
)",CV Central Aneka Agro
1309 ,CENTAN 60 WP,"Padi sawah: siput murbai
Pomacea canaliculata (Penyemprotan volume tinggi:
375 g/ha)",PT Centa Brasindo Abadi Chemical Industry
1310 ,CENTARIS 245 SL,"Kopi (TBM) :  gulma berdaun lebar 
Ageratum conyzoides
Borreria alata
gulma berdaun sempit 
Axonopus compressus
Ottochloa nodosa (Penyemprotan volume tinggi:
4 - 6 l/ha )",PT Centa Brasindo Abadi Chemical Industry
1311 ,CENTASCORE 275 EC,"Padi: penyakit hawar pelepah
Rhizoctonia solani
penyakit bercak coklat
Cercospora janseana (Penyemprotan volume tinggi:
250 ml/ha)",PT Centa Brasindo Abadi Chemical Industry
1312 ,CENTADINE 450 SL,"Padi sawah: wereng batang coklat
Nilaparvata lugens
penggerek batang 
Scirpophaga incertulas (Penyemprotan volume tinggi:
3 ml/l     )",PT Centa Brasindo Abadi Chemical Industry
1313 ,CENTADOR 10 WP,"Padi sawah : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi  : 0,4 g/l)",PT Centa Brasindo Abadi Chemical Industry
1314 ,CENTALLY PLUS 40 WG,"Lahan tanpa tanaman : gulma berdaun lebar Ageratum conyzoides, Borreria alata, Clidemia hirta, Ipomoea triloba (Penyemprotan volume tinggi  : 30 - 40 g/ha)",PT Centa Brasindo Abadi Chemical Industry
1315 ,CELTA 50 EC,"Kubis : ulat daun Plutella xylostella, ulat krop Crocidolomia pavonana (Penyemprotan volume tinggi : 2 ml/l)",PT Delta Giri Wacana
1316 ,CENTA-DINE 450 SL,"Padi sawah : wereng coklat Nilaparvata lugens, penggerek batang Scirpophaga incertulas (Penyemprotan volume tinggi : 2,25 - 3 ml/l)",PT Centa Brasindo Abadi Chemical Industry
1317 ,CEBA 125 EC,"Cabai: hama trips
Thrips parvispinus  (Penyemprotan volume tinggi:
2 ml/l) Kubis: perusak daun
Plutella xylostela (Penyemprotan volume tinggi:
1 ml/l)",PT Petrokimia Kayaku
1318 ,CBA-6 865 SL,"Padi sawah : gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monochoria vaginalis (Penyemprotan volume tinggi  : 1 - 2 l/ha) Tebu : gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora (Penyemprotan volume tinggi  : 1,5 - 2 l/ha)",PT Centa Brasindo Abadi Chemical Industry
1319 ,CATALAN 33 WP,"Padi: wereng coklat
Nilaparvata lugens (Peyemprotan volume tinggi:
1,5 g/l)",PT Tiga Muara Emas Makmur
1320 ,CARINO 250 EC,"Cabai : penyakit bercak daun Cercospora capsici (Penyemprotan volume tinggi : 2 ml/l) Kakao: penyakit busuk buah Phytophtora palmivora (Penyemprotan volume tinggi: 2 ml/l) Kedelai: penyakit bercak daun Cerospora sojina (Penyemprotan volume tinggi: 2 ml/l) Mangga: penyakit bercak daun Stigmina mangiferae (Penyemprotan volume tinggi: 2 ml/l) Padi: Penyakit bercak coklat sempit Cercospora janseana (Penyemprotan volume tinggi: 1 ml/l) Padi: penyakit hawar pelepah Rhizoctonia solani, penyakit blast Pyricularia oryzae (Penyemprotan volume tinggi: 1,5 ml/l)",PT Delta Giri Wacana
1321 ,CARBOTER 3 GR,"Padi : wereng coklat 
Nilaparvata lugens (Penaburan : 
15 kg/ha )",PT Intec
1322 ,CAPTURE 50 EC,"Kakao : pengisap buah Helopeltis antonii (Penyemprotan volume tinggi : 0,25 - 0,5 ml/l) Kakao : penggerek buah kakao Canopomorpha cramerella (Penyemprotan volume tinggi : 3 - 4 ml/l) Kedelai : ulat grayak Spodotera litura, pengisap polong Nezara viridula, penggerek polong Etiella zinckenella (Penyemprotan volume tinggi  : 0,75 - 1 ml/l) Kedelai : ulat jengkal Chrysodeixis chalcites (Penyemprotan volume tinggi : 1,5 - 2,5 ml/l) Kelapa sawit : ulat kantong Metisa plana (Penyemprotan volume tinggi : 0,5 - 1 ml/l) Kelapa sawit : ulat api Setothosea asigna, hama kumbang tanduk Oryctes rhinoceros (Penyemprotan volume tinggi : 0,5 ml/l) Kubis : ulat daun Plutella xylostella, ulat krop Crocidolomia pavonana (Penyemprotan volume tinggi  : 0,75 - 1 ml/l) Tembakau : ulat penggerek pucuk Helicoverpa armigera (Penyemprotan volume tinggi : 1 - 2 ml/l) Tomat : penggerek buah Helicoverpha armigera (Penyemprotan volume tinggi  : 1 ml/l)",PT Dharma Guna Wibawa
1323 ,CAPITAL 200/300 SC,"Cabai penyakit bercak daun Cercospora capsici
 (Penyemprotan volume tinggi 1 ml/l
)",PT Santani Agro Mandiri
1324 ,CAPTIVE 35 SD,"Jagung : penyakit bulai Peronosclerospora maydis (Perlakuan benih :0,937 g/kg benih)",PT Agricon
1325 ,CAMINOX 250 SC,"Kentang : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",CV Agro Chemica
1326 ,CALARIS 550 SC,"Jagung: gulma berdaun lebar
Ageratum conyzoides
Alternanthera philoxeroides
Euphorbia pruniflora
Synedrella nodiflora (Penyemprotan volume tinggi:
1,5 - 2 l/ha)",PT Syngenta Indonesia
1327 ,CALIBER 100 SC,"Padi sawah tabela : gulma berdaun lebar Ludwigia octovalvis, gulma berdaun sempit Echinochloa crus-galli, teki Cyperus iria, Fimbrystylis miliacea (Penyemprotan volume tinggi : 225 - 300 ml/ha)",PT Agro Persada
1328 ,CALIWA ULTRA 60/9 WP,"Cabai penyakit antraknosa Colletotrichum capsici
 (Penyemprotan volume tinggi 3 kg/ha
)",PT Zenith Cropsciences Indonesia
1329 ,CALADINE MOSQUITO REPELLENT 10,"Di dalam ruangan: Nyamuk Aedes aegypti, Culex quinquefasciatus, Anopheles maculatus (Pengolesan pada kulit)",PT Galenium Pharmasia Laboratories
1330 ,CADILAC 80 WP,"Cabai : penyakit bercak daun Cercospora capsici (penyemprotan volume tinggi : 1 - 2 g/l ) Kakao : penyakit busuk buah Phytophthora palmovora (Penyemprotan volume tinggi : 4 g/l) Kentang: penyakit busuk daun Phytophthora infestans, penyakit bercak kering Alternaria solani (penyemprotan volume tinggi : 1 - 2 g/l)",PT Biotis Agrindo
1331 ,CABRIOTOP 60 WG,"Apel : penyakit embun tepung Podosphaera leucontricha (Penyemprotan volume tinggi : 0,5 - 1 g/l) Bawang merah : penyakit layu Fusarium oxysporum (Penyemprotan volume tinggi : 0,75 - 1 g/l) Cabai : penyakit bercak daun
Cercospora capsici (Penyemprotan volume tinggi : 
0,75 - 1 g/l) Cabai: Penyakit antraknosa 
Colletotrichum capsici (Penyemprotan volume tinggi:
1 g/l   ) Kentang : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 1 g/l) Mangga : penyakit antraknosa Colletotrichum gloeosporioides, penyakit bercak daun stigmina Stigmina mangiferae (Penyemprotan volume tinggi : 2 g/l) Tomat : penyakit busuk daun Phytophthora infestans (Penyemprotan volume tinggi : 1 g/l)",PT BASF Indonesia
1332 ,CABRIO GOLD 183 SE,"Jagung : penyakit hawar pelepah 
Rhizoctonia solani  (Penyemprotan volume tinggi:
500 - 750 ml/ha 
(pada 40 HST) ) Kopi : penyakit karat daun Hemileia vastatrix (Penyemprotan volume tinggi : 1000 - 1250 ml/ha)",PT BASF Indonesia
1333 ,BUPROLORD 250 SC,"Padi : penggerek batang Scirpophaga incertulas, wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 1,5 - 2 ml/l)",PT UPL Indonesia
1334 ,BUPROSIDA 100 EC,"Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 0,75 - 1 ml/l) Padi : wereng punggung putih Sogatella furcifera (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Petrosida Gresik
1335 ,BUZZZTOX 50 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Bahtera Boniaga Lestari
1336 ,CABRIO 250 EC,"Bawang merah : Penyakit bercak ungu
Alternaria porii
 (Penyemprotan volume tinggi: 
0,375 ml/l 
) Kentang : Penyakit bercak daun
Alternaria solani
Penyakit hawar daun
Phytophthora infestans 
 (Penyemprotan volume tinggi: 
0,375 ml/l 
) Tomat : Penyakit bercak daun
Alternaria solani
Penyakit hawar daun
Phytophthora infestans 
 (Penyemprotan volume tinggi: 
0,75 ml/l 
)",PT BASF Indonesia
1337 ,BUPRO-NA 25 WP,"Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 1,5 - 2 g/l)",PT Mulya Nusa Abadi
1338 ,BULMA 400/150 SL,"Karet (TBM): Gulma berdaun lebar
Asystasia gangetica
Synedrella nodiflora
Gulma berdaun sempit
Axonopus compressus
Ottochloa nodosa
 (Penyemprotan volume tinggi: 
1,5 - 2 ml/l 
)",PT Petrosida Gresik
1339 ,BULLDOZER 550/100 EC,"Cabai: kutu daun
Myzus persicae (Penyemprotan volume tinggi:
1 ml/l)",CV Sukses  Bersama
1340 ,"BULLFIGHT PLUS 88,8 WG","Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Clidemia hirta, gulma berdaun sempit Ischaemum timorense, Setaria plicata (Penyemprotan volume tinggi : 1 - 1,5 kg/ha)",PT Rainbow Agrosciences
1341 ,BULFIDOR 300 SC,"Cabai: hama trips Thrips parvispinus (Penyemprotan volume tinggi: 0,75 - 1 ml/l)",PT Rabana Agro  Resources
1342 ,BTPLUS,"Padi sawah: penggerek batang padi kuning
Scirpophaga incertulas (Penyemprotan volume tinggi:
1,1 g/l)",PT Prima Agro Tech
1343 ,BUFOS 150 SL,"Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum (Penyemprotan volume tinggi : 1,5 - 2 l/ha)",PT Farmco Kimia
1344 ,BT MAX TB,"Kakao: hama penghisap buah Helopeltis sp.
 (Penyemprotan volume tinggi 0,75 g/l
)",PT Prima Agro Tech
1345 ,"BROTIK 0,005 RB",Tikus sawah: Rattus argentiventer (Pengumpanan),PD Graha Agro
1346 ,BRUNO 70 EC,"Cabai: hama trips
Thrips parvispinus (Penyemprotan volume tinggi:
0,75  ml/l)",PT Deltagro Mulia Sejati
1347 ,BROND UP 240 SL,"Kopi (TBM) : gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora, gulma berdaun sempit Ottochloa nodosa, Setaria plicata (Penyemprotan volume tinggi : 3 - 5 l/ha)",PT Sinar General Industries
1348 ,"BRODIRAT 0,005 BB",Tikus sawah : Rattus argentiventer (Pengumpanan siap pakai) Tikus semak : Rattus tiomanicus (Pengumpanan siap pakai),PT Multi Sarana Indotani
1349 ,BRONCO 500 EC,"Padi : walang sangit Leptocorisa oratorius (Penyemprotan volume tinggi : 1,5 - 2 ml/l )",PT Dalzon Chemicals Indonesia
1350 ,BREEZE 270/120 SL,"Karet (TM) : gulma berdaun lebar Ageratum conyzoides, Artemisia dubia, Borreria alata, Calopogonium mucunoides gulma berdaun sempit Axonopus compresus, Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi  : 2 - 4  l/ha)",PT Agricon
1351 ,BRAVOTOP 555 SL,"Kelapa sawit  - gulma berdaun lebar Ageratum conyzoides Borreria alata Chromolaena odorata
- golongan rumput Axonopus compressus Ottochloa nodosa Panicum repens Paspalum conjugatum
- teki Cyperus rotundus
 (Penyemprotan volume tinggi 0,75 - 1,5 l/ha
)",PT Bravo Dinamika
1352 ,BRAVO 50 EC,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi :  0,5 - 1 ml/l) Jeruk : kutu loncat Diaphorina citri (Penyemprotan volume tinggi :  0,5 - 1 ml/l) Kakao  : hama penghisap buah Helopeltis antonii (Penyemprotan volume tinggi : 2 ml/l) Kapas : Penggerek pucuk Heliothis armigera (Penyemprotan volume tinggi :  1 - 2  ml/l) Kedelai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi :  0,5 - 1 ml/l) Kelapa sawit : ulat api Thosea asigna (Penyemprotan volume tinggi : 0,5 - 1 ml/l) Teh : hama Helopeltis sp. (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Inti Everspring Indonesia
1353 ,BRAVE 150 SL,"Kelapa sawit (TBM) : gulma berdaun lebar 
Borreria alata
Clidemia hirta
golongan rumput
Ottochloa nodosa
Paspalum conjugatum  (Penyemprotan volume tinggi:
4 - 5 l/ha ) Kelapa sawit (TBM) : gulma berdaun lebar Crassocephalum crepidioides (Penyemprotan volume tinggi : 4 l/ha)",PT Dalzon Chemicals Indonesia
1354 ,BRANTAXONE 276 SL*,"Kelapa sawit (TBM): gulma berdaun lebar Diodia sarmentosa, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Paspalum conjugatum (Penyemprotan volume tinggi: 1,5 - 2,5 l/ha)",PT Sinar General Industries
1355 ,BRASSO 250 EC,"Cabai : hama trips thrips sp. (Penyemprotan volume tinggi : 0,75 - 1 ml/l) Cabai : kutu daun Myzus persicae, lalat buah dacus sp. (Penyemprotan volume tinggi : 0,5 - 1 ml/l) Cabai : kutu daun Aphids sp. (Penyemprotan volume tinggi : 1 ml/l) Kakao : pengisap buah Helopeltis antonii, penggerek buah Conopomorpha cramerella (Penyemprotan volume tinggi : 0,5 - 1 ml/l) Kedelai : hama penggulung daun Lamprosema indicata, perusak daun Plusia chalcites, pengisap polong Riptortus linearis, penggerek polong Etiella zinckenella (Penyemprotan volume tinggi : 0,5 - 1 ml/l)",PT Mitra Kreasidharma
1356 ,BRANKUS 57 PS,"Sawah: tikus sawah
Rattus argentiventer (Pengemposan :
1 batang mercon)",CV. Artha Buwana Cemerlang
1357 ,BRANTALANG PLUS  300/100 SL,"Kelapa sawit  - gulma berdaun lebar Ageratum conyzoides Calopagonium mucunoides Commelina benghalensis  Asystasia gangetica
- gulma berdaun sempit Axonopus compressus  Ottochloa nodosa
- teki Cyperus rotundus
 (Penyemprotan volume tinggi 3-4 l/ha	
	
Kalimat peringatan: Sisa gulma tidak boleh dibakar	
)",PT Samudera Utama Narapati
1358 ,BOSTRIN 100 EC,"Bawang merah: hama kutu daun
Myzus persicae (Penyemprotan volume tinggi:
1 ml/l)",CV Raja Grafika
1359 ,BOSBAN 200 EC,"Bawang merah: kutu daun
Myzus persicae (Penyemprotan volume tinggi:
1 ml/l)",CV Raja Grafika
1360 ,BORAL 480 SC,"Kedelai : gulma berdaun lebar Cleome rutidosperma, Mimosa invisa, Spigelia anthelmia, teki Cyperus rotundus (Penyemprotan volume tinggi : 150 - 300 ml/ha) Kedelai : gulma berdaun lebar Richardia brasiliensis (Penyemprotan volume tinggi : 300 ml/ha) Kelapa sawit (TM): gulma berdaun lebar Synedrella nodiflora, Ageratum conyzoides, Commelina benghalensis; gulma berdaun sempit Eleusine indica; teki Cyperus iria (Penyemprotan volume tinggi: 1,5 - 2 l/ha) Kubis: gulma berdaun lebar Synedrella nodiflora, Amaranthus spinosus; gulma berdaun sempit Eleusine indica; teki Cyperus rotundus (Penyemprotan volume tinggi: 187,5 - 225 ml/ha) Padi sawah tanam pindah : gulma berdaun lebar Monochoria vaginalis, Ludwigia hyssopifolia, gulma berdaun sempit Leptochloa chinensis, teki Fimbrisylis littoralis (Penyemprotan volume tinggi : 150 - 200 ml/ha)",PT Bina Guna Kimia
1361 ,BONA 500 EC,Padi : wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 1 ml/l),CV Pojok Indah Group
1362 ,BOOMING 250 EC,"Padi: penyakit hawar pelepah Rhizoctonia solani (Penyemprotan volume tinggi: 1,25 - 1,5 ml/l)",PT Asia Gala Kimia
1363 ,BOMBER 20 EC,Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 3 - 4 ml/l) Kedelai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 4 ml/l),PT Mitra Kreasidharma
1364 ,BM ZEBCO 80 WP,Cabai: penyakit bercak daun Cercospora capsici (Penyemprotan volume tinggi: 2 g/l),PT Behn Meyer AgriCare
1365 ,BMA 6 865 SL,"Padi sawah : gulma berdaun lebar Ludwigia octovalvis, Marsilea crenata, Monochoria vaginalis (Penyemprotan volume tinggi : 1 - 2 l/ha)",PT Indoin Business Group
1366 ,BM TRICALON 318 EC,"Kelapa sawit (TBM): gulma berdaun lebar Ageratum conyzoides, Chromolaena odorata, Melastoma affine (Penyemprotan volume tinggi:  1 ,5 - 2  l/ha)",PT Behn Meyer AgriCare
1367 ,BM TRICALON 480 EC,"Kelapa sawit (TBM): gulma berdaun lebar
Borreria alata
Clidemia hirta 
Mikania micrantha
Synedrella nodiflora (Penyemprotan volume tinggi:
1,5 - 2,5 l/ha)",PT Behn Meyer AgriCare
1368 ,BM THIOMET 200 SL,Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 2 ml/l),PT Behn Meyer AgriCare
1369 ,BM PROPERTHRIN 440 EC,"Cabai: thrips Thrips parvispinus, kutu daun Myzus persicae (Penyemprotan volume tinggi: 1 ml/l) Kubis: ulat krop Crocidolomia binotalis (Penyemprotan volume tinggi: 1 ml/l) Kubis: ulat daun Plutella xylostella (Penyemprotan volume tinggi: 0,5 ml/l)",PT Behn Meyer AgriCare
1370 ,BM PRONEB 70 WP,"Cabai merah : penyakit bercak daun Cercospora capsici, penyakit antraknosa Colletotrichum capsici (Penyemprotan volume tinggi : 1 - 2 g/l) Kentang  : penyakit busuk daun Phythopthora infestans (Penyemprotan volume tinggi  : 1 - 2 g/l)",PT Behn Meyer AgriCare
1371 ,BM PROMAX 75 SP,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1,5 - 2 g/l) Kelapa sawit : ulat kantong Metisa plana (Penyemprotan volume tinggi : 5 g/pohon)",PT Behn Meyer AgriCare
1372 ,BM METAZOLE 125 SC,"Padi penyakit hawar pelepah Rhizoctonia solani
 (Penyemprotan volume tinggi 1 ml/l
)",PT Behn Meyer AgriCare
1373 ,BM MASCONIL 50 SC,"Kelapa sawit: rayap
Coptotermes curvignathus (Penyemprotan volume tinggi:
1 ml/l) Padi: wereng coklat
Nilaparvata lugens (Penyemprotan volume tinggi:
1 ml/l)",PT Behn Meyer AgriCare
1374 ,BM LAMDA 50 EC,Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi : 1 ml/l),PT Behn Meyer AgriCare
1375 ,BM JAMURLANG 300 EC,Padi : penyakit hawar pelepah Rhizoctonia solani (Penyemprotan volume tinggi : 1 - 2 ml/l),PT Behn Meyer AgriCare
1376 ,BM KNEX 288 EC,"Kelapa sawit   gulma berdaun lebar Ageratum conyzoides Asystasia intrusa Calopogonium sp. Mikania micrantha
 (Penyemprotan volume tinggi 1,5 - 3 l/ha
)",PT Behn Meyer AgriCare
1377 ,BM HAMMER 45 WP,"Padi sawah: hama siput murbei
Pomacea cannaliculata (Penyemprotan volume tinggi:
325 g/ha)",PT Behn Meyer AgriCare
1378 ,BM HAMATI 25 WG,"Padi sawah: wereng coklat
Nilaparvata lugens (Penaburan:
1 g/l)",PT Behn Meyer AgriCare
1379 ,BM GLYMORE 400 SL,"Kelapa sawit - gulma berdaun lebar Ageratum conyzoides Borreria alata
- gulma golongan rumput Imperata cylindrica  Ottochloa nodosa Paspalum conjugatum Mikania micrantha
 (Penyemprotan volume tinggi 1,5 - 3 l/ha
)",PT Behn Meyer AgriCare
1380 ,BM GLYMORE 330 SL,"Kelapa sawit (TBM) gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit, Ischaemum timorensis, Ottochloa nodosa (Penyemprotan volume tinggi:
1,5 - 2, 5 l/ha)",PT Behn Meyer AgriCare
1381 ,BM DELTA 28 EC,Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi  : 3 - 4 ml/l),PT Behn Meyer AgriCare
1382 ,BM EMATEZ 5 SG,"Kubis : hama perusak krop
Crocidolomia pavonana (Penyemprotan volume tinggi:
2 g/l) Kubis: ulat daun
Plutella xylostella (Penyemprotan volume tinggi:
2 ml/l)",PT Behn Meyer AgriCare
1383 ,BM FOSBAN 200 EC,"Cabai : ulat grayak Spodotera litura (Penyemprotan volume tinggi : 1,5 ml/l)",PT Behn Meyer AgriCare
1384 ,BM GLYMORE 33 SP,"Kelapa sawit TBM: gulma berdaun lebar Ageratum conyzoides, Borreria alata, Mikania micrantha; gulma berdaun sempit Ottocholoa nodosa, Imperata cylindrica, Paspalum conjugatum  (Penyemprotan volume tinggi:
1,5 -2 kg/ha)",PT Behn Meyer AgriCare
1385 ,BM DAWN 100 EC,"Tomat: penggerek buah
Helicoverpa armigera
kutu daun
Aphis sp. (Penyemprotan volume tinggi:
1 ml/l)",PT Behn Meyer AgriCare
1386 ,BM CYCHLOPHOS 500/50 EC,"Cabai : ulat grayak Spodoptera litura (Penyemprotan volume tinggi  : 0,75 ml/l)",PT Behn Meyer AgriCare
1387 ,MARSHAL 200 SC,"Kapas : wereng kapas Sundapteryx biguttula (Penyemprotan volume tinggi  : 1 - 2 ml/l) Nenas : kutu daun Dysmicoccus sp. (Penyemprotan volume tinggi : 1 - 2 ml/l, Pencelupan bibit : 0,5 - 1 ml/l) Padi : penggerek batang Scirpophaga incertulas, wereng coklat Nilaparvata lugens (Penyemprotan volume tinggi : 1 - 2 ml/l) Padi : walang sangit Leptocorisa oratorius (Penyemprotan volume tinggi : 1,5 - 2 ml/l) Teh : hama Empoasca sp., hama Helopeltis sp. (Penyemprotan volume tinggi : 0,5 - 1 l/ha)",PT Bina Guna Kimia
1388 ,BLUETAN 45 WP,"Padi sawah: siput murbei
Pomacea caniculata (Penyemprotan volume tinggi:
375 g/ha)",PT Tiara Buana Mandiri
1389 ,BLUEZEB 80 WP,"Kentang: penyakit busuk daun
Phytophthora infestans (Penyemprotan volume tinggi:
3,5 g/l)",PT Excel Meg Indo
1390 ,BM BENTA-Q 480 SL,"Padi sawah tanam pindah : gulma berdaun lebar Monochoria vaginalis, teki Cyperus iria (Penyemprotan volume tinggi : 1,5 - 2 l/ha)",PT Behn Meyer AgriCare
1391 ,MARSHAL 200 EC,"Bawang merah : ulat grayak Spodoptera exigua (Penyemprotan volume tinggi : 1 - 2 ml/l) Cabai merah : kutu daun Myzus persicae, hama thrips tabaci (Penyemprotan volume tinggi : 2 - 4 l/ha) Cabai merah : tungau Tetranychus sp. (Penyemprotan volume tinggi : 1,5 - 3 ml/l) Jeruk : tungau Tetranychus sp. (Penyemprotan volume tinggi : 1,5 - 3 ml/l) Kakao : pengisap buah Helopeltis sp. (Penyemprotan volume tinggi : 0,5 - 1 ml/l) Kapas : wereng kapas Sundapteryx biguttula (Penyemprotan volume tinggi : 1 - 2 l/ha ) Kedelai : ulat grayak Spodoptera litura, penggerek polong Etiella zinckenella (Penyemprotan volume tinggi : 2 - 3,5 ml/l) Kelapa : kutu daun Aspidiotus destructor (Infus akar : 8 - 16 ml/pohon ; Injeksi batang : 8 - 16 ml/pohon) Kelapa : hama Sexava nubila (Injeksi batang : 30 ml/pohon) Kelapa sawit : ulat kantong Metisa plana, hama Sexava nubila (Penyemprotan volume tinggi : 0,5 - 1 l/ha) Kentang : hama Thrips palmi (Penyemprotan volume tinggi : 1,5 - 3 ml/l) Ketimun : kutu daun Aphis sp., Myzus persicae (Penyemprotan volume tinggi : 1,5 - 3 ml/l) Lada : pengisap buah Dasynus piperis, pengisap bunga Diplogomphus hewitti (Penyemprotan volume tinggi : 1,5 - 3 ml/l) Semangka : hama trips
Thrips palmi 
kutu daun
Aphis sp.
Myzus persicae  (Penyemprotan volume tinggi : 1,5 - 3 ml/l) Tomat : penggerek buah Heliothis armigera (Penyemprotan volume tinggi : 3 ml/l)",PT Bina Guna Kimia
1392 ,BLAST 200 SC,"Padi : penyakit blast Pyricularia oryzae (Penyemprotan volume tinggi  : 1,5 ml/l) Padi : penyakit blast Pyricularia oryzae (perlakuan benih : 2,5 ml/kg benih)",PT Agricon
1393 ,BLASTGONE 75 WP,Padi : penyakit blast Pyricularia oryzae (Perlakuan benih : 5 g/kg benih) Padi : penyakit blas Pyricularia oryzae (Penyemprotan volume tinggi : 600 ml/ha),PT Bina Guna Kimia
1394 ,MANUVER 6 GR,"Kedelai: lalat bibit
Agromyza phaseoli (Penaburan : 12 kg/ha) Padi: wereng coklat
Nilaparvata lugens (Penaburan:
9 kg/ha) Padi: penggerek batang
Scirpophaga incertulas (Penaburan:
12 kg/ha)",PT Biotis Agrindo
1395 ,MARADONA 490 SL,"Kelapa sawit (TBM): gulma berdaun lebar Borreria alata, Synedrella nodiflora, Mikania micrantha; gulma berdaun sempit Ottocloa nodosa, Ischaemum timorense (Penyemprotan volume tinggi :
1,5 – 2,5  l/ha)",PT Agri Triguna Selaras
1396 ,MARBOFID 2 WP,"Cabai : hama trips Thrips parvispinus, kutu daun Myzus persicae (Penyemprotan volume tinggi : 1 g/l)",PT Safe Chemicals Indonesia
1397 ,MARKOTOP 300 SL*,"Kelapa sawit (TBM) : gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa (Penyemprotan volume tinggi : 1 - 2 g/l)",PT Santani Agro Perkasa
1398 ,"BLITZ 1,2 AE","Di dalam ruangan : lalat 
Musca domestica (Penyemprotan terbatas dan siap pakai)",PT Inti Everspring Indonesia
1399 ,BITOP 531 SL,"Karet (TBM) :  gulma berdaun lebar 
Commelina diffusa
gulma berdaun sempit 
Ottochloa nodosa (Penyemprotan volume tinggi:
2,5 - 3 l/ha ) Karet (TBM) :  gulma berdaun lebar 
Paspalum conjugatum (Penyemprotan volume tinggi:
2 - 3 l/ha ) Kelapa sawit (TBM) :  gulma berdaun lebar 
Borreria alata
gulma berdaun sempit 
Ottochloa nodosa (Penyemprotan volume tinggi:
1,25 – 1,5 l/ha)",PT Petrokimia Kayaku
1400 ,BISTAR 10 WP,"Di dalam ruangan : nyamuk Anopheles aconitus (Penyemprotan residual : 2,5 - 5 g/l) Di dalam ruangan : lalat Musca domestica (Penyemprotan residual : 5 - 10 g/l) Di dalam ruangan : kecoa Blatella germanica (Penyemprotan residual s/d 1 bulan : 5 - 10 g/l)",PT Bina Guna Kimia
1401 ,BITCOIN 200 EC,"Bawang merah: ulat grayak
Spodoptera exigua (Penyemprotan volume tinggi:
1 ml/l)",CV Uni Agro Chemica
