no,nama pts,website
194,033203 Sekolah Tinggi Ilmu Ekonomi BPKP,
195,033205 Sekolah Tinggi Kepemerintahan dan Kebijakan Publik,http://www.sgpp.ac.id/
196,033206 Sekolah Tinggi Ilmu Manajemen dan Ilmu Komputer ESQ,http://www.esqbs.ac.id
197,033208 STIH Indonesia Jentera,http://indonesiajentera.org/
198,033209 STIKES Mitra Keluarga,
199,033210 STIH Litigasi,http://stihlitigasi.ac.id/
200,033211 Sekolah Tinggi Ilmu Manajemen Saint Mary,
201,034004 Akademi Akuntansi Borobudur,
202,034006 Akademi Akuntansi Artawiyata Indo-lpi,
203,034008 Akademi Akuntansi Jayabaya,
204,034009 Akademi Akuntansi Nasional Jakarta,http://aan.unas.ac.id/
205,034011 Akademi Akuntansi YAI Jakarta,http://www.yai.ac.id/aa_yai.html
206,034013 Akademi Bahasa Asing Borobudur,
207,034019 Akademi Keuangan Dan Perbankan LPI,
208,034024 Akademi Teknologi Grafika Indonesia Jakarta,
209,034030 Akademi Maritim Nasional Jaya,
210,034032 Akademi Manajemen Perusahaan Jayabaya,
211,034033 Akademi Keuangan Dan Perbankan Borobudur,
212,034036 Akademi Keperawatan RS DGI Cikini,http://akperrscikini.blogspot.com/
213,034050 Akademi Bahasa Asing Nasional Jakarta,http://aba.unas.ac.id/
214,034058 Akademi Maritim Djadajat,
215,034061 Akademi Pariwisata Nasional Jakarta,http://akparnas.unas.ac.id/
216,034062 Akademi Pariwisata Indonesia Jakarta,
217,034083 Akademi Seni Rupa Dan Desain ISWI Jakarta,
218,034084 Akademi Pariwisata Tridaya,
219,034086 Akademi Akuntansi Syafa’at Indonesia,
220,034090 AMIK Andalan Jakarta,
221,034091 Akademi Bahasa Asing Saint Mary,http://www.saintmary.ac.id/
222,034093 Akademi Perbankan Yuki,http://akademiperbankanyuki.ac.id/
223,034095 Akademi Kimia Analis Caraka Nusantara,http://www.akacn.ac.id/
224,034099 Akademi Bahasa Asing Santa Ursula,http://www.santaursula.ac.id/
225,034102 Akademi Pariwisata Nusantara Jaya,
226,034103 Akademi Pariwisata Paramitha Jakarta,
227,034104 Akademi Sekretari Budi Luhur Jakarta,http://astri.budiluhur.ac.id/
228,034105 Akademi Sekretari Dan Manajemen Don Bosco,http://www.asekmadb.ac.id/
229,034106 Akademi Pariwisata Jakarta International Hotel,http://www.apjih.ac.id/
230,034109 Akademi Pariwisata Patria Indonesia,
231,034110 AMIK BSI Jakarta,http://www.bsi.ac.id/
232,034112 Akademi Komunikasi Media Radio Dan TV Jakarta,http://akommrtvi.ac.id/
233,034118 Akademi Televisi Indonesia,http://atvi.ac.id/
234,034119 Akademi Telekomunikasi Indonesia Gemilang,
235,034120 Akademi Pariwisata Jakarta,http://www.akpar-jakarta.ac.id/
236,034121 Akademi Maritim Pembangunan Jakarta,http://maritimpembangunangroup.org/
237,034124 Akademi Pariwisata Pertiwi,http://akpar-pertiwi.ac.id/
238,034125 Akademi Bahasa Asing Prawira Marta Jakarta,
239,034128 Akademi Pariwisata Matoa,
240,034129 AMIK Mpu Tantular,
241,034130 Akademi Pariwisata Gsp Internasional,http://gsppluit.webs.com/
242,034134 Akademi Pariwisata Saint Mary,http://www.saintmary.ac.id/
243,034135 Akademi Sekretari Interstudi,http://aksek.interstudi.edu/
244,034136 Akademi Sekretari & Manajemen Dharma Budhi Bhakti,
245,034137 Akademi Sekretari Dan Manajemen BSI Jakarta,http://www.bsi.ac.id/
246,034138 Akademi Sekretari Dan Manajemen Pitaloka,
247,034139 Akademi Kebidanan Keris Husada,
248,034140 Akademi Keperawatan Keris Husada,
249,034141 AMIK Laksi-31,http://www.laksi31.ac.id/
250,034142 Akademi Kebidanan Al-Fathonah,http://www.al-fathonah.web.id/
251,034145 Akademi Sekretari Saint Theresia,
252,034147 Akademi Teknik Informatika Tunas Bangsa,
253,034149 Akademi Teknik Telekomunikasi Sandhy Putra Jakarta,
254,034150 Akademi Pariwisata Krisanti Widya Mandiri,
255,034151 Akademi Pariwisata Bunda Mulia,
256,034154 Akademi Kebidanan Pelita Persada,
257,034156 Akademi Bahasa Asing BSI Jakarta,http://www.bsi.ac.id/
258,034157 Akademi Kebidanan Suluh Bangsa,http://www.suluhbangsa.ac.id/
259,034159 Akademi Kebidanan Kartika Mitra Husada,
260,034160 Akademi Kebidanan Sismadi,http://www.akbidsismadi.ac.id/
261,034161 Akademi Kebidanan Widyakarsa,
262,034162 Akademi Komunikasi BSI Jakarta,http://www.bsi.ac.id/
263,034163 Akademi Kebidanan YPDR,
264,034167 Akademi Kebidanan Prestasi Agung,http://www.akbidprestasiagung.ac.id/
265,034168 Akademi Komunikasi SAE Indonesia,https://indonesia.sae.edu/id/
266,034169 Akademi Kebidanan Mitra Persahabatan,
267,034170 Akademi Kebidanan Yaspen Tugu Ibu,
268,034171 Akademi Keperawatan Yayasan Jalan Kimia,http://www.akperyjk.com/
269,034173 Akademi Keperawatan Rumah Sakit Jakarta,http://akperyrsj.ac.id/
270,034174 Akademi Keperawatan As-Syafi iyah,http://www.uia.ac.id/index.php?option=com_content&view=article&id=61&Itemid=66
271,034175 Akademi Kebidanan Farama Mulya,http://www.farama-mulya.ac.id/
272,034177 Akademi Keperawatan Hang Tuah Jakarta,http://www.akper-hangtuahjakarta.ac.id/
273,034178 Akademi Keperawatan Pasar Rebo Jakarta,
274,034179 Akademi Keperawatan Yaspen Jakarta,http://akperyaspen.com/
275,034180 Akademi Keperawatan RSP TNI-AU Jakarta,
276,034181 Akademi Keperawatan Royhan,http://akperroyhan.ac.id/
277,034182 Akademi Farmasi Hang Tuah Jakarta,http://www.akfar.ac.id/
278,034183 Akademi Teknik Gigi Hang Tuah Jakarta,http://atghangtuahjkt.blogspot.com/
279,034186 Akademi Keperawatan Manggala Husada,http://akpmh.blogspot.com/
280,034187 Akademi Keperawatan Berkala Widya Husada,http://www.akperberkala.ac.id/
281,034190 Akademi Keperawatan RSU FK-UKI,
282,034191 Akademi Keperawatan Harum,http://www.akperharum.ac.id/
283,034194 Akademi Pariwisata Sinar Surya,http://www.xinya.org/
