no,Nama Perusahaan,Alamat,Telepon,Komoditi
23780,PULAU CAHAYA TERANG PT,"S El Binti, B A T A M, Kepulauan Riau",,Soring Bad (caisar)
23781,"PULAU INTAN LESTARI, PT","Jl. Inter Change Tol Dawuan No.8, Karawang, Jawa Barat",0267 - 310125,Kain Rajut
23782,"PULAU INTAN, UD (IKAN KERING H. DARYON","Jl. Raya Deandels Rt.05/01, Lamongan, Jawa Timur",0322 - 661349,Ikan Layang Kering
23783,"PULAU MAS KHATULISTIWA, PT","Jl. Khatulistiwa Km. 6, Pontianak, Kalimantan Barat",0561 - 884645,Udang  Beku
23784,"PULAU MAS, PT","Kampung Mencut, Bandung, Jawa Barat",022 - 667085,Tekstil
23785,"PULAU MASTEXINDO, PT.","Jl. Raya Nanjung Km. 2.2 Leuwigajah, Bandung, Jawa Barat",022 - 667085,Kain Polyester Printing/dyeing
23786,"PULAU SAMBU, PT","Jl. Rawa Bebek No. 26, Jakarta Utara, DKI Jakarta",,Coconut Cream
23787,"PULAU SAMBU, PT","Jl. Rawa Bebek No. 26, Jakarta Utara, DKI Jakarta",,Coconut Cream
23788,"PULAU SAMBU, PT/ SEI GUNTUNG","Dusun Sei Guntung, Indragiri Hilir, Riau",,Santan Kelapa
23789,"PULAU SAMBU, PT/KUALA ENOK","Desa Tanah Merah, Indragiri Hilir, Riau",0768 - 21609,Minyak Kelapa
23790,"PULO GADUNG INDUSTRI MESIN, PT","Jl. Pulo Lentut Kawasan Industri Pulo Gadung, Jakarta Timur, DKI Jakarta",,Mesin Spare Part
23791,"PULO GADUNG INDUSTRI MESIN, PT","Jl. Pulo Lentut Kawasan Industri Pulo Gadung, Jakarta Timur, DKI Jakarta",,Mesin Spare Part
23792,PULO GADUNG TEMPA JAYA  PT,"Jl. Rawa Gatel, Jakarta Timur, DKI Jakarta",,Besi Dan Baja
23793,PULO KENCANA DRUM INDUSTRI PT,"Jl. Kalimalang Km. 25 No. 45, Bekasi, Jawa Barat",,Drum Rekondisi
23794,PULO MAS,"Desa Bawangan , Dusun Kesamben, Jombang, Jawa Timur",,Jasa Makloon Perajangan Tembakau
23795,"PULOGADUNG STEEL MFG CO LTD, PT","Jl. Pulolentut 3 Kawasan Industri, Jakarta Timur, DKI Jakarta",021 - 461358,Besi Beton Besi Plat
23796,"PULOMAS TEXTILE, PT","Jl. Leuiwidulang No.26, Bandung, Jawa Barat",022 - 595164,Kain Celup
23797,"PULOSARI,UD","Jl. Penangungan, Kediri, Jawa Timur",,Bore Core (laminating)
23798,"PULOSYNTHETICS/ CLEAREANT, PT/ ARCH R","Jl. Australia 1 Kav F1, Cilegon, Banten",0254 -,Resin Sintetic/polimerasi
23799,"PULUNG CABLE INDONESIA, PT","Jl. Kopo Maja No.99 Kp. Cileget Rt. 05/02, Serang, Banten",,Kabel Listrik
23800,PULUNG INDAH,"Desa Kepulungan, Pasuruan, Jawa Timur",,Butir Plastik
23801,"PUMAS RAUTO GEMILANG, PT","Jl. Raya Serang Km. 22 Kp. Cogreg Desa Pasir Bolang, Tangerang, Banten",,Tali Sandal
23802,"PUMAS ROTUA GEMILANG, PT","Jl. Industri  Blok A No.7 Km. 22 Kampung Cogreg, Tangerang, Banten",021 - 596218,Eva Compound
23803,"PUMASINDO, PT","Jl. Raya Nanjung No.168, Bandung, Jawa Barat",022 - 667702,Webbing Tope
23804,"PUMASINDO, PT","Jl. Raya Nanjung No. 169, Bandung, Jawa Barat",,Webbing Taps
23805,PUMPA CAKRAWALA MULIA PT,"Cilandak Commercial, Jakarta Selatan, DKI Jakarta",,Pompa
23806,PUNBUN DJUMAIYAH,"Dusun Beji, Jombang, Jawa Timur",,Tas Kain
23807,"PUNCAK ABADI, CV","Jl. Ledok Dowo Rt.03/10, Malang, Jawa Timur",0341 - 796188,Kotak Jam
23808,"PUNCAK GUNUNG MAS, PT","Jl. Raya Poncol No.88, Jakarta Timur, DKI Jakarta",021 - 871044,Glukosa
23809,"PUNCAK HARAPAN SEJAHTERA, PT","Desa Bakalanpule, Lamongan, Jawa Timur",,Alas Kaki
23810,PUNCAK JAYA (PERTENUNAN),"Jl. Pangkalan Raja No.60, Bandung, Jawa Barat",022 - 595071,Kain Grey
23811,"PUNCAK JAYA SEJATI,   CV","Desa Bawu Rt. 01 Rw. 01, Jepara, Jawa Tengah",0291 - 595905,Mebel
23812,"PUNCAK MENARA HIJAU MAS, PT","Jl. Lintas Sumatera Km. 8 Bumi Raya, Lampung Utara, Lampung",0724 - 24928,"Plywood, Barecore"
23813,"PUNDARIKA ATMA SEMESTA, PT","Jl. Pancasila Iv Kav S81, Bogor, Jawa Barat",,Fire Truck
23814,PUNDI ALAM PERKASA PT,"Jl. Tembus Kranggan Pringsurat Km. 1,4, Temanggung, Jawa Tengah",,Barecore
23815,"PUNDI EMAS, CV","Jl. Santiago 3 No.91, Manado, Sulawesi Utara",0431 - 862848,Kopi Bubuk
23816,"PUNDI INDOKAYU INDUSTRI, PT","Jl. Siliwangi Rt. 11 Rw. 04, Banyumas, Jawa Tengah",,Plywood
23817,"PUNDI KENCANA, PT","Jl. Raya Anyar Km. 10 Krakatau Industrial Estate, Cilegon, Banten",0254 - 600208,Tepung Terigu
23818,"PUNDI LAHAN KHATULISTIWA, PT","Jl. Penepat, Kubu Raya, Kalimantan Barat",,Cpo (crude Palm Oil)
23819,"PUNDI MANDIRI, PT","Jl. Kapitan Raya, Depok, Jawa Barat",,Jasa Makloon Taplak Meja
23820,"PUNDI MAS , PT","Jl. Rancajigang, Bandung, Jawa Barat",,Kain Spandek
23821,"PUNDI UNIWOOD INDUSTRY, PT","Jl. Rangkascikandebumi Texineo Km. 4, Serang, Banten",0254 - 402821,Plywood
23822,PUNGKOOK INDONESIA ONE PT,"Jl. Raya Paburuaran Sarengseng Km. 3, Subang, Jawa Barat",,Tas Dan Kantong
23823,"PUNGKOOK INDONESIA ONE, PT","Dusun Sarengseng Rt. 042 Rw. 13, Subang, Jawa Barat",,Barang Dari Kulit
23824,"PUNGKOOK INDONESIA ONE, PT","Jl. Raya Purwodadi-blora Km. 1, Grobogan, Jawa Tengah",,Tas
23825,"PUNGUT PERMAI PERKASA, PT","Jl. Pungut Rt. 02/02, Bekasi, Jawa Barat",021 - 821632,Furniture Logam Utk Kantor
23826,PUNIPAR TRAVIGO PT,"Kim 2, Medan, Sumatera Utara",,Besi
23827,PUPUK GAMPENG,"Dusun 5, Asahan, Sumatera Utara",,Pupuk Abu Janjangan Sawit
23828,"PUPUK ISKANDAR MUDA, PT","Jl. Medan - Bna Kr. Geukueh, Aceh Utara, Nanggroe Aceh Darussalam",064 - 56222,Pupuk Urea
23829,"PUPUK KALIMANTAN TIMUR, PT","Jl. Ir. James Simanjuntak No. 1, Bontang, Kalimantan Timur",0548 - 41202,"Pupuk Urea, Amoniak, Pupuk Npk, Dan Pupuk"
23830,"PUPUK KUJANG (PKC), PT","Jl. Jend. A. Yani No. 39, Karawang, Jawa Barat",,Amonia
23831,"PUPUK KUJANG, PT","Jl. Raya Yani 39, Karawang, Jawa Barat",0264 -,Pupuk
23832,PUPUK ORGANIK ,"Rahayu Rt 04 Rw 08, Tasikmalaya, Jawa Barat",,Pupuk Organik
23833,PUPUK ORGANIK GANUL (POG),"Dusun Pule, Lamongan, Jawa Timur",,Pupuk Organik
23834,PUPUK ORGANIK MANAHAN SIHOTANG,"Jl. Todai, Medan, Sumatera Utara",,Pupuk Organik
23835,PUPUK ORGANIK PT BPB,"Donolayan, Sleman, D.I. Yogyakarta",,Pupuk Cair Organik
23836,"PUPUK SRIWIJAYA, PT","Jl. Sulawesi Ii Belawan, Medan, Sumatera Utara",061 - 694191,Pengantongan Pupuk Urea
23837,"PUPUK SRIWIJAYA, PT","Jl. Mayor Zen  Po.box 84, Palembang, Sumatera Selatan",0711 - 712112,Pupuk Urea
23838,"PURA AGUNG, PT","Jl. Raya Mojusari-trawas Km. 63, Mojokerto, Jawa Timur",0321 - 590990,Reclaimed Rubber
23839,"PURA BARU TAMA UNIT ENGINEERING, PT","Terban, Kudus, Jawa Tengah",,"Mesin Industri, Mesin Cetak Dll"
23840,"PURA BARU TAMA, PT","Panjangjiwo Permai Ib No 19-20, Surabaya, Jawa Timur",,Printing
23841,"PURA BARU UTAMA, PT","Jl. Pancoran Indah No. 5, Jakarta Selatan, DKI Jakarta",,Percetakan
23842,PURA BARUTA UNIT MICROCAPSULE PT,"Jati Kencing, Kudus, Jawa Tengah",,Lem Dan Bahan Kimia
23843,PURA BARUTAMA (UNIT TINTA),"Dukuh Bandaran, Kudus, Jawa Tengah",,Pembuatan Dan Pencampuran Tinta Cetak
23844,PURA BARUTAMA PT UNIT KERTAS,"Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas Putih
23845,PURA BARUTAMA PT UNIT METALIZING,"Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas Luvoil
23846,PURA BARUTAMA PT UNIT PM 9,"Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas
23847,PURA BARUTAMA PT UNIT SMART TECHNOLOGY,"Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas Scurity
23848,PURA BARUTAMA PT UNIT TSS 1,"Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas Industri Hologram Security
23849,PURA BARUTAMA PT UNIT TSS 2,"Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas Industri Hologram Security
23850,"PURA BARUTAMA, PT UNIT ADLER/COATING","Terban, Kudus, Jawa Tengah",0291 -,Kertas Non Karbon
23851,"PURA BARUTAMA, PT UNIT BOX","Jl. Kusus-pati Km. 12., Kudus, Jawa Tengah",0291 -,Karton Box
23852,"PURA BARUTAMA, PT UNIT ENGINERING","Jl. Kudus-pati Km. 12 Terban, Kudus, Jawa Tengah",,Mesin Industri
23853,"PURA BARUTAMA, PT UNIT INDOSATMPING,","Jl. Agil Kusumadya Km. 4, Kudus, Jawa Tengah",0291 - 44361,Cetakan Security
23854,"PURA BARUTAMA, PT UNIT MOULDED/ECOLOGY","Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas Kemas
23855,"PURA BARUTAMA, PT UNIT OFFSET, PT","Jl. Kresna, Kudus, Jawa Tengah",,Kertas Pembungkus
23856,"PURA BARUTAMA, PT UNIT PM 10","Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas Scurity
23857,"PURA BARUTAMA, PT UNIT PM 5/6","Jl. R Agil Kusumadya Km. 4, Kudus, Jawa Tengah",0291 -,Kertas
23858,"PURA BARUTAMA, PT UNIT ROTO II","Jl. R Agil Kusumadya, Kudus, Jawa Tengah",,Kertas
23859,"PURA BARUTAMA, PT UNIT ROTOGRAVURE","Jl. Akbp Agil Kusumadya No. 203, Kudus, Jawa Tengah",0291 -,Kertas 
23860,"PURA DEKOR INDO, PT","Dukuh Bandaran, Kudus, Jawa Tengah",,Dekoratif Paper
23861,PURA MANIKA STONE ART,"Jl. Dr Ramelan No. 21, Kudus, Jawa Tengah",,Kontruksi Batu Marmer
23862,"PURA MAYUNGAN, PT","Kav. Industri Keroncong No. 95, Tangerang, Banten",021 - 593088,Fuse Base Sambungan Kabel
23863,"PURA NUSA PERSADA, PT","Jl. Akbp Agil Kusumadya Km. 2, Kudus, Jawa Tengah",0291 - 431566,Cetak Sekurity Hologram
23864,"PURA NUSA PERSADA, PT UNIT PAPER MILL","Jl. Raya Kudus-pati  Km. 12, Kudus, Jawa Tengah",0291 - 439285,Kertas Zack Kraft
23865,"PURA PERKASA JAYA, PT","Jl. Anggrek 43, Blitar, Jawa Timur",0342 - 801384,Sigaret Kretek Tangan (skt)
23866,PURATOS,"Jl. Jababeka Xvii Blok U-34, Kawasan Jababeka I, Bekasi, Jawa Barat",,Adonan Tepung
23867,PURATOS PT,"Grogol Permai Blok F No. 7-8, Jakarta Barat, DKI Jakarta",,Tepung Kue Dan Roti
23868,"PURBASARI PUPUNDEN, PT","Jl. Raya Dayeuh Kolot No. 32, Bandung, Jawa Barat",022 - 520729,Sepatu Kanpas
23869,"PURBAYASA,  CV","Desa Purbayasa  Rt. 03/2, Purbalingga, Jawa Tengah",0281 - 569851,Falcata Solid Caminating
23870,PURI ARTHA ARTUSTIKA JATI INDONESIA PT,"Jl. Raya Subang Pagaden Km. 10 No. 28, Subang, Jawa Barat",,Peralatan Rumah Tangga
23871,"PURI BITUNG GEMILANG, CV","Jl. Tanjung Merah, Bitung, Sulawesi Utara",,Tepung Kelapa
23872,"PURI BOGA SUPRA, PT","Jl. Raya Kuta No.65, Br. Abianbase, Badung, Bali",0361 - 755149,"Makanan, Minuman, Roti Dan Kue"
23873,"PURI LAUTAN MUTIARA, CV","Jl. Selat No. 12, Apuan, Singapadu, Gianyar, Bali",0361 - 299780,Perhiasan Perak
23874,"PURI SAKTITEX, PT","Desa Wonolopo, Semarang, Jawa Tengah",,Konveksi
23875,"PURI SARI LESTARI, PT","Jl. Batas Dukuh Sari 38x, Denpasar, Bali",,Pakaian Jadi
23876,PURI SEJAHTERA UTAMA PT,"Kawasan Industri Greenland Batavia  Blok Ab No. 51 Deltamas, Bekasi, Jawa Barat",,Hasil Cetakan
23877,PURI.TY PT,"Jl. Ruko Delia Mas Bandengan Selatan, Jakarta Utara, DKI Jakarta",,Kartu Undangan
23878,PURIARTHA ARTISTIKA,"Jl. Raya Subang - Pagaden Km. 10 No. 28 Sukamulya, Subang, Jawa Barat",260450,Furniture Rattan
23879,PURIMAS 3,"Jl. Merdeka No. 24 Tr 05 Rw. 04, Banyumas, Jawa Tengah",,Roti
23880,"PURIMAS 3 BAKERY (BALI BAGUS, CV)","Jl. Teuku Umar No. 246, Denpasar, Bali",0361 - 244664,Roti
23881,PURIMAS BAKERY,"Jl. Hayam Wuruk No.191, Pekalongan, Jawa Tengah",,Roti
23882,PURIMAS BAKERY,"Jl. Ar Hakim No.8, Tegal, Jawa Tengah",0285 - 423591,Roti
23883,"PURINDO ILUFA, PT","Jl Indrokilo, Pasuruan, Jawa Timur",,Rokok Sigaret
23884,PURINUS A EKA PERSADAPT,"Jl. Soekarno-hatta, Bandung, Jawa Barat",,Karton Box
23885,"PURINUSA EKA PERKASA, PT","Jl. Soekarno Hatta No.793, Bandung, Jawa Barat",,Karton Box
23886,"PURINUSA EKA PERSADA, PT","Jl. Merakrejo Km. 31, Semarang, Jawa Tengah",0298 - 523300,Carton Box
23887,"PURINUSA EKA, PT","Ciparungsari, Purwakarta, Jawa Barat",,Karton Box
23888,"PURINUSA EKAPERSADA, PT","Jl. Raya Semarang-demak Km. 17, Demak, Jawa Tengah",0291 - 690601,Kertas Karton Gelombang
23889,"PURNA ARENA YUDHA, PT","Jl. Lintas Timur Sumatera Km. 78, Lampung Tengah, Lampung",0823 - 730434,Aspal Hotmix
23890,"PURNA BAJA HECKETY, PT","Jl. N 2 Cigading, Cilegon, Banten",0254 -,Jasa Besi Scrap
23891,"PURNA BINA NUSA, PT","Jl. Tenggiri Kav I No. 2, B A T A M, Kepulauan Riau",778 - 412155,Casing
23892,"PURNA KARYA MANUNGGAL, PT","Jl. Kima 8 No.2, Makassar, Sulawesi Selatan",505075,Ready Mix Concrete
23893,PURNAMA,"Jl. Anyar Rt.02/01, Bandung, Jawa Barat",022 - 595081,Kain Grey
23894,PURNAMA ASIH SUR PT,"Kp Cipeuteuy, Purwakarta, Jawa Barat",,Pakaian Jadi
23895,"PURNAMA ASIH SUR, PT","Kp. Cipeuteuy Cilegong, Purwakarta, Jawa Barat",,Pakaian Jadi
23896,"PURNAMA BETON INDONESIA, PT","Jl. Raya Cangkring Malang, Pasuruan, Jawa Timur",,Paving
23897,"PURNAMA BHAKTI UTAMA, PT","Jl. Niban Rimin 33 Buaran, Tangerang Selatan, Banten",21 - 75872217,Sticker
23898,PURNAMA INDAH MEUBEL,"Desa Paseh Kaler Rt. 21 Rw. 09, Sumedang, Jawa Barat",,Meubelair
23899,PURNAMA KARYA NUGRAHA,"Desa Padang Loang, Bulukumba, Sulawesi Selatan",,Aspal Hotmix
23900,PURNAMA MEBEL,"Jl. K.h. Fudholi No. 128, Bekasi, Jawa Barat",021 - 890223,Meubelair
23901,"PURNAMA SARI LBN, PT","Jl. Dewi Sri G. Jeruk Ii No. 2004 X, Gianyar, Bali",0361 - 846102,Perhiasan Perak
23902,"PURNAMA SIWI, CV","Jl. Swadaya 5 No. 85, Bekasi, Jawa Barat",,Makanan
23903,"PURNAMA TIRTA, CV/PURNAMA TIRTATEX","Jl. Rancajigang No.198, Bandung, Jawa Barat",022 - 595105,Pengecapan Dan Pencelupan
23904,"PURNAMA, UD","Dusun Wates  Rt. 05/02 - Ds. Kedensari, Sidoarjo, Jawa Timur",031 - 894302,"Tas Wanita, Ikat Pinggang Dan Dompet"
23905,PURNAMA/PANORAMA,"Jl. Sukamanah Blk No.235, Bandung, Jawa Barat",022 - 595187,Kain Grey
23906,"PURNAMAJAYA BHAKTI UTAMA, PT","Jl. Niban Rimin No.165, Kp. Gardu Rt.004, Ds. Buaran, Tangerang Selatan, Banten",,Sticker/cetakan
23907,PURNOMO,"Jl. Demak Timur Xii No. 152 B, Surabaya, Jawa Timur",031 - 532141,Essense Cap Kapal Layar
23908,"PURNOMO INDAH, UD","Jl. Jongorblok J No.04, Tegal, Jawa Tengah",,Fillet Ikan
23909,PURNOMO PLASTIK,"Jl. Raya Mastrip Kedurus  No.7, Surabaya, Jawa Timur",,Tali Rafia
23910,PUROSANI PRIMA PT,"Surobayan, Bantul, D.I. Yogyakarta",,"Kuda-kuda Baja, Tangki, Alat-alat Pabrik"
23911,"PUROSANI PRIMA, PT","Surobayan Rt. 06, Bantul, D.I. Yogyakarta",,Pintu Air
23912,PURWA AKSARA UNIT PERCETAKAN,"Jl. Mt Haryono No. 69 Rt. 03 Rw. 03, Grobogan, Jawa Tengah",,Barang Cetakan
23913,"PURWATALENTA, CV","Cihideung, Purwakarta, Jawa Barat",,Pallet Dari Kayu
23914,"PURWOGONDO I, PP","Dusun Wadungpal, Banyuwangi, Jawa Timur",0333 - 821456,Beras
23915,PUSAKA BERUANG BATIK,"Jl. Jatirogo No. 34, Rembang, Jawa Tengah",,Kain Batik Tulis
23916,"PUSAKA HIDUP, CV","Jl. Semarang-demak Km. 7 No. 443, Semarang, Jawa Tengah",024 - 658066,Rokok Kretek
23917,PUSAKA JS (DODOL),"Jl. Jend. A. Yani Timur No.457, Garut, Jawa Barat",0262 - 233502,Dodol
23918,"PUSAKA KALI AGUNG, PT","Jl. Raya Cirebon Bandung Km. 17, Cirebon, Jawa Barat",0231 - 341006,Amdk
23919,PUSAKA KUJANG MAS,"Jl. Sindang Wargi No. 70, Bandung, Jawa Barat",022 - 589244,Minuman Powder Bandrek  Bajigur
23920,PUSAKA MARMER INDAH,"Jl. Raya Padalarang Km. 25.4, Bandung Barat, Jawa Barat",,Marmer
23921,"Pusaka Marmer indah Raya, PT","Bulu Sipong, Sulawesi Selatan, Sulawesi Selatan",,Marmer
23922,"PUSAKA PRIMA MANDIRI, PT","Jl.brigjend Zein Hamid Km.6,9 Titi Kuning, Medan, Sumatera Utara",,Kertas Rokok
23923,"PUSAKA PRIMA MANDIRI,PT","Jl. Brigjend Zein Hamid Km 6.9, Medan, Sumatera Utara",,Kertas Rokok
23924,"PUSAKA, CV","Jl. Guntur Melati, No.82, Garut, Jawa Barat",,Gipsum
23925,PUSAKO MINANG TENUN ANTIK,"Jl. Banda Malintang Pandai Sikek Jorong Baruah, Tanah Datar, Sumatera Barat",0752 - 498320,Kain Tenun Songket
23926,PUSAKO PANDAI SIKEK,"Jl. Jorong Baruah Pandai Sikek, Tanah Datar, Sumatera Barat",0752 - 498193,Kain Tenun Songket
23927,"PUSAN MANIS MULIA, PT","Jl. Ganda Sari No. 79 Pasirrandu, Tangerang, Banten",021 - 598518,Permen Karet
23928,PUSAT KOPERASI INDUSTRI SUSU,"Raya Puntir Rt. 01/20 Ds.martopuro, Pasuruan, Jawa Timur",0343 - 614949,Susu Uht
23929,PUSAT KOPERASI PELAYARAN RAKYAT,"Jl. Tembus Mantuil Permai, Banjarmasin, Kalimantan Selatan",,Kapal
23930,PUSAT PENELITIAN TEH DAN KINA GAMBUNG,"Gambung, Bandung, Jawa Barat",022 - 592750,Teh Hijau Dan Kina
23931,"PUSAT SENDI MARMER,UD","Jl. Mertasari No. 84 Sidakarya, Denpasar, Bali",0361 - 720786,Sendi Marmer
23932,PUSLIT TEH DAN KINA - KEBUN GAMBUNG,"Jl. Pptk Gambung, Bandung, Jawa Barat",,Teh
23933,"PUSPA BAHARI, UD","Ds.asembagus, Situbondo, Jawa Timur",81336416507,Batik Tulis
23934,PUSPA KENCANA PT ,"Jl. Bidara Raya No. 18, Jakarta Utara, DKI Jakarta",,Penyediaan Obat-obatan
23935,"PUSPA KUMALA JAYA, PT","Jl. Mayjend Sungkono No. 3, Gresik, Jawa Timur",031 - 398328,Wood Working
23936,PUSPA PHARMA PT,"Desa Leuwinutug, Bogor, Jawa Barat",,Obat Obatan
23937,"PUSPA, CV","Jl. Patih Jelantik, Br. Dinas Taman, Desa Batuagung, Jembrana, Bali",0365 - 42084,Beras
23938,"PUSPETINDO, PT","Jl. Jend A Yani Kotak Pos 176, Gresik, Jawa Timur",031 - 398211,Bejana Cryogenic
23939,"PUSPITA ANUGRAH ABADI, PT","Komplek Tpi Juwana Ii Jl. Hangtuah Desa Bojomulyo, Pati, Jawa Tengah",,Ikan Laut Beku
23940,"PUSPITA GRETA TEXTILE, PT","Jl. Cintakarya No. 9, Purwakarta, Jawa Barat",264 - 315667,Perajutan Tekstile
23941,"PUSPITA PRIMA, PT","Jl. Jati  Blok J4-1a, Bekasi, Jawa Barat",021 - 899096,Pencelupan Tekstil
23942,PUSPITA SARI KEDELAI,"Jl. Masjid Al Ikhsan, Bekasi, Jawa Barat",,Susu Kedelai
23943,PUSPITATEX,"Jl. Bojong Becik No.5 Rt.01/07, Bandung, Jawa Barat",812214,Kain Kasur
23944,PUSPITAWATI,"Jl. Mekarjaya, Tasikmalaya, Jawa Barat",812233,Teh Hijau
23945,PUSTAK INSAN MADANI ,"Dukuh Sekaranom, Klaten, Jawa Tengah",,Alat Peraga
23946,PUSTAKA AL KAUTSAR,"Jl. Cipinang Muara Raya No.63, Jakarta Timur, DKI Jakarta",021 - 850759,Buku Islam  Al-qur'an
23947,"PUSTAKA BENGAWAN, CV","Jl. Nanas Rt. 02 Rw. 06, Gadung Kerep, Sukoharjo, Jawa Tengah",0271 - 672736,Buku Pekajaran Lks
23948,"PUSTAKA INSAN MADANI, PT","Jl. Kenanga, Sambilegi Lor, Sleman, D.I. Yogyakarta",,Buku Pelajaran
23949,"PUSTAKA JAYA ILMU, CV","Gg. Rawa Macan, Bekasi, Jawa Barat",,Percetakan
23950,"PUSTAKA MEDIA UTAMA, CV","Kp. Rancabentang No. 97 Rt. 02/13, Jawa Barat, Jawa Barat",022 -,Al-quran
23951,"PUSTAKA PELAJAR, UD","Celeban Timur Uh 111/ 548, Yogyakarta, D.I. Yogyakarta",0274 - 381542,Buku
23952,PUSTAKA SETIA,"Jl. Bkr  No. 162 - 164, Bandung, Jawa Barat",,Buku Pelajaran
23953,"PUTERA BUANA FOODS, PT","Jl. Raya Cangkir No. 360, Gresik, Jawa Timur",,Cokelat Compound Butir
23954,"PUTERA GAMPANG INGAT, PT","Jl. Raya Serang Km. 13,7 Tangerang, Tangerang, Banten",,"Rel Laci,tarikan,rak Pajangan"
23955,PUTERA GEMILANG,"Jl. Raya Mulyorejo No. 95, Malang, Jawa Timur",0341 - 714216,Rokok Kretek
23956,"PUTERA HARAPAN, CV","Jl. Jend Sudirman Km. 4,5, Tanjung Balai, Sumatera Utara",0623 - 596800,Peralatan Perkapalan
23957,PUTERA IKAN HIAS,"Jl. Terusan Batu Bara No. 20, Malang, Jawa Timur",,Kacang Shanghai
23958,"PUTERA JAYA SAKTI, PT","Jl. Jaksa Agung Suprapto No. 192, Bojonegoro, Jawa Timur",,Rokok Kretek
23959,"PUTERA MAKMUR ABADI, CV/ PT ALBASIA SE","Jl. Raya Wonosobo Km. 2 Catgawen, Temanggung, Jawa Tengah",0293 - 591442,Barecore
23960,"PUTERA MAPAN SENTOSA, PT","Margomulyo 44/d-23, Surabaya, Jawa Timur",031 - 748127,Sepatu
23961,"PUTERA MENARA AGUNG, PT","Jl. Flores No. 6 Rt. 07 Rw. 10, Tegal, Jawa Tengah",0283 - 352388,Obat Nyamuk Bakar
23962,"PUTERA MULYA TERANG INDAH, PT","Jl. Ranca Jigang No.200, Bandung, Jawa Barat",022 - 595160,Kain Blacu
23963,"PUTERA SEJATI, CV","Jl. Cibaligo 39, Cimahi, Jawa Barat",022 - 603169,Karung Plastik
23964,PUTRA  BINTANG TIMUR,"Imam Bonjol 885 Rt. 04/08 , Jlrt 1 Rw. 6, Malang, Jawa Timur",0341 - 453456,Rokok Skt
23965,PUTRA AGUNG,"Jl. B. Zen Hamid Gg. Sado No. 119, Medan, Sumatera Utara",061 - 786065,Kereta Sorong
23966,"PUTRA AGUNG SETIA, PT (KAROSERI AGUSTU","Jl. Letnan Tukiyat No. 69 Dusun Brajan, Magelang, Jawa Tengah",0293 - 782600,Karoseri Mobil
23967,"PUTRA ANEKA, CV","Jl. Teuku Umar No.7, Bandar Lampung, Lampung",896670,Baju Olah Raga/training
23968,"PUTRA ANEKA, PT","Teuku Umar No. 1a, Bandar Lampung, Lampung",074 - 785479,"Kaos, Seragam, Ktr, Tas, Saepatu"
23969,"PUTRA AREZDA PURNAMA, PT","Jl. Sisingamangaraja Km. 10, Medan, Sumatera Utara",061 - 786700,Vulkanisir Ban
23970,PUTRA AREZDA PURNAMAN PT,"Jl. Sm Raja Km. 10,5, Medan, Sumatera Utara",,Ban Vulkanisir
23971,"PUTRA BAHARI, UD","Komplek Tpi Pangkalan, Rembang, Jawa Tengah",,Ikan Kering
23972,"PUTRA BAHTERA TEKNIK, UD","Jl. Raya Mojo Tengah No. 170, Gresik, Jawa Timur",,"Cabut Bulu Ayam, Parut Kelapa Dan Pompa"
23973,"PUTRA BAKTI UTAMA, PT","Ja Suprapto 192 , Jl, Bojonegoro, Jawa Timur",353 - 881783,Tembakau Krosok
23974,"PUTRA BANDAR WIRETAMA, PT","Jl. P. Irian No. 1 Kim Ii, Deli Serdang, Sumatera Utara",61 - 6851167,Paku
23975,"PUTRA BANGKA MANDIRI, PT","Jl. Mentok Cengkong Abang, Bangka, Kepulauan Bangka Belitung",0717 - 435758,Cpo (crude Palm Oil)
23976,PUTRA BANGSAWAN,"Jl. Yos Sudarso No. 22, Banyuwangi, Jawa Timur",0333 - 593180,Ikan Beku
23977,"PUTRA BANGUN CITRA MANDIRI, PT","Jl. Talaga Mas I No.3  Kawsan Industri, Tangerang, Banten",021 -,"Paku, Baut, Mur"
23978,"PUTRA BANGUN RUBBERINDO, PT","Jl. Talaga Mas I No. 1, Tangerang, Banten",,Perlengkapan Dan Komponen Roda
23979,"PUTRA BANJAR, CV","Alalak Tengah, Banjarmasin, Kalimantan Selatan",,Papan
23980,PUTRA BAROKAH,"Kampung Solokan Jeruk Rt.01/07, Bandung, Jawa Barat",022 - 595926,Kain Sarung
23981,PUTRA BAROKAH TREGEST,"Jl. Blok Biru, Jepara, Jawa Tengah",,Finishing Mebel
23982,PUTRA BAROKAH TREGEST PT,"Langon Jl. Bok Biru, Jepara, Jawa Tengah",,"Meja, Kursi, Almari , Bufet"
23983,PUTRA BERLIAN PLASTIK TAMA PT,"Jl. Letda Sujono Komp Pergudangan No. 37, Deli Serdang, Sumatera Utara",,"Timba, Dan Produk Plastik Lainnya"
