no,rank,character,animeography,mangaography,favorites
770,770,"Midorima, Shintarou","['Kuroko no Basket: Oshaberi Demo Shimasen ka', 'Kuroko no Basket: Saikou no Present Desu', 'Kuroko no Basket Movie 4: Last Game']","['Kuroko no Basket: Extra Game', 'Kuroko no Basket: Replace Plus', 'Kuroko no Basket']",2072
771,771,"Sawamura, Eijun","['Diamond no Ace', 'Diamond no Ace: Second Season', 'Diamond no Ace: Second Season OVA']","['Diamond no Ace', 'Diamond no Brass!!: Seidou Koukou Suisougaku-bu', 'Diamond no Ace Act II']",2069
772,772,"Hiraga, Saito","['Zero no Tsukaima', 'Zero no Tsukaima: Futatsuki no Kishi', 'Zero no Tsukaima: Princesses no Rondo']","['Zero no Tsukaima', 'Zero no Tsukaima', 'Zero no Tsukaima Gaiden: Tabitha no Bouken']",2069
773,773,"Horikita, Suzune","['Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)']","['Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e', 'Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: √Horikita']",2054
774,774,"Kyouraku, Jirou Souzousuke Shunsui","['Bleach', 'Bleach: The Sealed Sword Frenzy', 'Bleach Movie 1: Memories of Nobody']","['Bleach', 'Bleach: The Honey Dish Rhapsody', 'Bleach: Spirits Are Forever with You']",2044
775,775,"Nakamura, Sawa",['Aku no Hana'],['Aku no Hana'],2041
776,776,Iris,"['Enen no Shouboutai', 'Enen no Shouboutai: Ni no Shou']",['Enen no Shouboutai'],2040
777,777,"Honda, Gorou","['Major S2', 'Major S1', 'Major S3']","['Major', 'Major 2nd']",2026
778,778,Ruler,"['Fate/Apocrypha', 'Fate/Grand Order', 'Manga de Wakaru! Fate/Grand Order']","['Fate/Apocrypha', 'Type-Moon Gakuen: Chibichuki!', 'Fate/Grand Order: Mortalis:Stella']",2021
779,779,"Kaburagi, Kotetsu T.","['Tiger & Bunny', 'Tiger & Bunny Pilot', 'Tiger & Bunny Movie 1: The Beginning']","['Tiger & Bunny', 'Tiger & Bunny Comic Anthology', 'Tiger & Bunny']",2020
780,780,"Koga, Tomoe","['Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai Picture Drama', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai']","['Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai', 'Seishun Buta Yarou Series', 'Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai']",2019
781,781,Yui,"['Sword Art Online: Sword Art Offline - Extra Edition', 'Sword Art Online Movie: Ordinal Scale - Sword Art Offline', 'Sword Art Online']","['Sword Art Online: Fairy Dance', 'Sword Art Online: Celeste no Yousei', 'Sword Art Online: Kirito no Aincrad Night']",2012
782,782,"Shinonome, Hakase","['Nichijou: Nichijou no 0-wa', 'Nichijou', 'Nichijou: Original Jikai Yokoku']","['Nichijou', 'Helvetica Standard']",2011
783,783,"Takarada, Rikka",['SSSS.Gridman'],"['SSSS.Gridman', 'SSSS.Gridman: Shinseiki Chuugakusei no Shitsuji Café']",2008
784,784,"Hiratsuka, Shizuka","['Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku']","['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue']",2004
785,785,Hiro,['Darling in the FranXX'],"['Darling in the FranXX', 'Darling in the FranXX!']",2002
786,786,"Sonozaki, Mion","['Higurashi no Naku Koro ni', 'Higurashi no Naku Koro ni Kai', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen']","['Higurashi no Naku Koro ni: Onikakushi-hen', 'Higurashi no Naku Koro ni: Watanagashi-hen', 'Higurashi no Naku Koro ni: Tatarigoroshi-hen']",1997
787,787,"Cha, Hae-In",[],['Solo Leveling'],1986
788,788,"Bradley, King","['Fullmetal Alchemist', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Brotherhood']",['Fullmetal Alchemist'],1985
789,789,Reki,['Haibane Renmei'],"['Old Home no Haibane-tachi', 'Old Home no Haibane-tachi: Bangai-hen']",1984
790,790,Gally,"['Gunnm', 'Gunnm 3D Special']","['Gunnm', 'Gunnm: Last Order', 'Gunnm Gaiden']",1983
791,791,"Seiei, Setsuna F.","['Mobile Suit Gundam 00', 'Mobile Suit Gundam 00 Second Season', 'Mobile Suit Gundam 00: Tenshitachi no Kiseki']","['Kidou Senshi Gundam 00', 'Mobile Suit Gundam 00 - Blue Memories', 'Mobile Suit Gundam 00']",1979
792,792,"Tsugumi, Seishirou","['Nisekoi', 'Nisekoi OVA', 'Nisekoi:']","['Nisekoi', 'Ore Koi!!']",1975
793,793,Ein,"['Cowboy Bebop: Ein no Natsuyasumi', 'Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira']","['Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",1972
794,794,"Finger, Pieck","['Shingeki no Kyojin Season 3 Part 2', 'Shingeki no Kyojin: The Final Season', 'Shingeki no Kyojin: The Final Season Part 2']","['Shingeki no Kyojin', 'Shingeki! Kyojin Koukou: Seishun! Tonari no Marley Gakuen']",1970
795,795,"Heartnet, Train","['Black Cat (TV)', 'Black Cat (TV): Toozakaru Neko']",['Black Cat'],1969
796,796,"Tanaka, Asuka","['Hibike! Euphonium 2', 'Hibike! Euphonium Movie 2: Todoketai Melody', 'Hibike! Euphonium']","['Hibike! Euphonium', 'Hibike! Euphonium: Kitauji Koukou Suisougaku-bu e Youkoso', 'Hibike! Euphonium: Kitauji Koukou Suisougaku-bu no Ichiban Atsui Natsu']",1959
797,797,"Tobiichi, Origami","['Date A Live', 'Date A Live: Date to Date', 'Date A Live II']","['Date A Live', 'Date A Origami', 'Date A Party']",1958
798,798,Fubuki,"['One Punch Man', 'One Punch Man Specials', 'One Punch Man 2nd Season']",['One Punch-Man'],1953
799,799,"Hanagaki, Takemichi","['Tokyo Revengers', 'Chibi Revenger']",['Tokyo卍Revengers'],1948
800,800,"Tatsumi, Koutarou","['Zombieland Saga', 'Zombieland Saga: Revenge']",[],1943
801,801,"Kotatsu, Tamaki","['Enen no Shouboutai', 'Enen no Shouboutai: Ni no Shou']",['Enen no Shouboutai'],1934
802,802,"Morokuzu, Takehito","['Prison School', 'Prison School: Mad Wax']","['Prison School', 'Fukukaichou Ganbaru.']",1934
803,803,"Bloodfallen, Shalltear","['Overlord', 'Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki', 'Overlord II']","['Overlord', 'Overlord']",1933
804,804,Thorkell,['Vinland Saga'],['Vinland Saga'],1931
805,805,"Tokitou, Muichirou","['Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Kimetsu no Yaiba: Mugen Ressha-hen']",['Kimetsu no Yaiba'],1921
806,806,"Sugimoto, Saichi","['Golden Kamuy', 'Golden Kamuy 2nd Season', 'Golden Kamuy 2nd Season OVA']",['Golden Kamuy'],1920
807,807,"Brando, Diego",[],['JoJo no Kimyou na Bouken Part 7: Steel Ball Run'],1915
808,808,"Miketsukami, Soushi","['Inu x Boku SS', 'Inu x Boku SS Special']",['Inu x Boku SS'],1912
809,809,"Vermillion, Mereoleona",['Black Clover'],['Black Clover'],1908
810,810,Sasori,"['Naruto: Shippuuden', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto: Shippuuden Movie 6 - Road to Ninja']","['Naruto', 'Rock Lee no Seishun Full-Power Ninden']",1907
811,811,"Hoshino, Yutaka",['Ping Pong the Animation'],['Ping Pong'],1905
812,812,"Brunestud, Arcueid","['Shingetsutan Tsukihime', 'Carnival Phantasm', 'Carnival Phantasm EX Season']","['Shingetsutan Tsukihime', 'Melty Blood', 'Take Moon']",1901
813,813,Nyaruko,"['Haiyoru! Nyaruani', 'Haiyoru! Nyaruani: Remember My Love(craft-sensei)', 'Haiyoru! Nyaruani: Remember My Love(craft-sensei) Special']","['Haiyore! Nyaruko-san', 'Haiyore! Nyaruko-san', 'Haiyore! Super Nyaruko-chan Time']",1899
814,814,"Nakahara, Sunako",['Yamato Nadeshiko Shichihenge♥'],['Yamato Nadeshiko Shichihenge♥'],1898
815,815,Reborn,"['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!', 'Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview']","['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn! Secret Bullet', 'Vongola GP Kuru']",1895
816,816,"Yamamoto, Takeshi","['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!', 'Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview']","['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn! Secret Bullet']",1894
817,817,Suigintou,"['Rozen Maiden', 'Rozen Maiden: Träumend', 'Rozen Maiden: Ouvertüre']","['Rozen Maiden', 'Rozen Maiden (2008)', 'Rozen Maiden 0']",1883
818,818,"Momozono, Nanami","['Kamisama Hajimemashita', 'Kamisama Hajimemashita OVA', 'Kamisama Hajimemashita◎']","['Kamisama Hajimemashita', 'Kamisama Hajimemashita: Kurama-yama Yawa', 'Kamisama Hajimemashita: Sonogo no Futari']",1881
819,819,"Lunge, Heinrich","['Monster', 'Monster Extra: Hottan']",['Monster'],1879
820,820,"Nandaba, Naota",['FLCL'],"['FLCL', 'FLCL']",1879
821,821,"Souma, Momiji","['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season']",['Fruits Basket'],1878
822,822,"Ye, Xiu","['Quanzhi Gaoshou', 'Quanzhi Gaoshou Specials', 'Quanzhi Gaoshou 2']",['Quanzhi Gaoshou'],1876
823,823,"Tepes, Krul","['Owari no Seraph', 'Owari no Seraph: Nagoya Kessen-hen', 'Owari no Seraph: The Beginning of the End']","['Owari no Seraph', 'Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe']",1875
824,824,"Black, Jet","['Cowboy Bebop', 'Cowboy Bebop: Tengoku no Tobira', 'Cowboy Bebop: Yose Atsume Blues']","['Cowboy Bebop', 'Shooting Star Bebop: Cowboy Bebop']",1874
825,825,"Amamiya, Ren","['Persona 5 the Animation: The Day Breakers', 'Persona 5 the Animation', 'Persona 5 the Animation TV Specials']","['Persona 5', 'Persona 5: Mementos Mission']",1873
826,826,"Yuurakutei, Yakumo","['Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen', 'Shouwa Genroku Rakugo Shinjuu', 'Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen']",['Shouwa Genroku Rakugo Shinjuu'],1873
827,827,"Akaza, Akari","['Yuru Yuri', 'Yuru Yuri♪♪', 'Yuru Yuri Nachuyachumi!']",['Yuru Yuri'],1872
828,828,Leone,"['Akame ga Kill!', 'AkaKill! Gekijou']","['Akame ga Kill!', 'Akame ga Kill! Zero', 'Akame ga Kill! 1.5']",1869
829,829,"Itsuka, Kotori","['Date A Live', 'Date A Live: Date to Date', 'Date A Live II']","['Date A Live', 'Date A Live', 'Date A Live: Tooka Dead End']",1866
830,830,"Tsushima, Yoshiko","['Kimi no Kokoro wa Kagayaiteru kai?', 'Love Live! Sunshine!!', 'Koi ni Naritai Aquarium']","['Love Live! Sunshine!!', 'Love Live! Sunshine!! School Idol Diary', 'Love Live! Sunshine!! Guilty Kiss Comic Anthology']",1865
831,831,"Rokudou, Mukuro","['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview', 'Katekyo Hitman Reborn! x ēlDLIVE Special']","['Katekyo Hitman Reborn!', 'Katekyo Hitman Reborn! Secret Bullet']",1865
832,832,Yoshino,"['Date A Live', 'Date A Live II', 'Date A Live II: Kurumi Star Festival']","['Date A Live: Encore', 'Date A Live', 'Date A Live']",1861
833,833,Eureka,"['Koukyoushihen Eureka Seven', 'Koukyoushihen Eureka Seven: Kinkyuu Tokuban Navigation ray=out', 'Koukyoushihen Eureka Seven: Pocket ga Niji de Ippai']","['Koukyoushihen Eureka seveN', 'Eureka Seven', 'Koukyoushihen Eureka seveN: New Order']",1861
834,834,Cadis Etrama Di Raizel,"['Noblesse: Pamyeol-ui Sijak', 'Noblesse: Awakening', 'Noblesse']",['Noblesse'],1858
835,835,"Ikishima, Midari","['Kakegurui', 'Kakegurui××']","['Kakegurui Midari', 'Kakegurui', 'Kakegurui Twin']",1850
836,836,Haji,['Blood+'],"['Blood+', 'Blood+ Adagio', 'Blood+: Yakou Joushi']",1850
837,837,"Adagaki, Aki","['Masamune-kun no Revenge', 'Masamune-kun no Revenge OVA']","['Masamune-kun no Revenge', 'Masamune-kun no Revenge', 'Masamune-kun no Revenge 0']",1849
838,838,Zeref,"['Fairy Tail', 'Fairy Tail (2014)', 'Fairy Tail Movie 2: Dragon Cry']","['Fairy Tail', 'Fairy Tail Zerø']",1845
839,839,"Li, Xin","['Kingdom', 'Kingdom 2nd Season', 'Kingdom 3rd Season']",['Kingdom'],1843
840,840,"Sunohara, Youhei","['Clannad', 'Clannad Movie', 'Clannad: Mou Hitotsu no Sekai, Tomoyo-hen']","['Clannad', 'Clannad 4-koma Manga Gekijyou']",1841
841,841,"Nota Seniorious, Chtholly",['Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?'],"['Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?', 'Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?', 'Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? Ex']",1839
842,842,Noi,"['Dorohedoro', 'Dorohedoro: Ma no Omake']",['Dorohedoro'],1838
843,843,Monokuma,"['Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'Danganronpa 3: Monokuma Gekijou', 'Wooser no Sono Higurashi: Kakusei-hen']","['Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei', 'Super Danganronpa 2: Nanami Chiaki no Sayonara Zetsubou Daibouken', 'Super Danganronpa 2: Sayonara Zetsubou Gakuen - 4-koma KINGS']",1837
844,844,Tobi,"['Naruto: Shippuuden', 'Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono', 'Naruto x UT']","['Naruto', 'Rock Lee no Seishun Full-Power Ninden', 'Road to Ninja: Naruto the Movie']",1832
845,845,"Yamaguchi, Tadashi","['Haikyuu!!', 'Haikyuu!!: Lev Genzan!', 'Haikyuu!! Second Season']",['Haikyuu!!'],1829
846,846,Miia,"['Monster Musume no Iru Nichijou', 'Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga', 'Monster Musume no Iru Nichijou OVA']","['Monster Musume no Iru Nichijou', 'Monster Musume no Iru Nichijou 4-koma Anthology']",1811
847,847,Caiman,"['Dorohedoro', 'Dorohedoro: Ma no Omake']",['Dorohedoro'],1811
848,848,"Higashiyama, Kobeni",['Chainsaw Man'],['Chainsaw Man'],1809
849,849,"Jin, Mo-Ri",['The God of High School'],['The God of High School'],1807
850,850,Yuno,"['Black Clover: Jump Festa 2016 Special', 'Black Clover', 'Black Clover: Jump Festa 2018 Special']",['Black Clover'],1797
851,851,Chelsea,"['Akame ga Kill!', 'AkaKill! Gekijou']","['Akame ga Kill!', 'Akame ga Kill! Zero']",1796
852,852,Kite,"['Hunter x Hunter', 'Hunter x Hunter: Greed Island Final', 'Hunter x Hunter Pilot']",['Hunter x Hunter'],1795
853,853,"Might, Guy","['Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto', 'Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!']","['Rock Lee no Seishun Full-Power Ninden', 'Naruto Shinden Series', 'Naruto']",1795
854,854,"Tendou, Satori","['Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou', 'Haikyuu!! Movie 4: Concept no Tatakai', 'Haikyuu!!: To the Top']",['Haikyuu!!'],1793
855,855,"Gouda, Takeo",['Ore Monogatari!!'],"['Ore Monogatari!!', 'Ore Ride!!', 'Ore Koi!!']",1792
856,856,"Ushiromiya, Battler","['Umineko no Naku Koro ni', 'Umineko no Naku Koro ni Specials']","['Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch', 'Umineko no Naku Koro ni - Episode 2: Turn of the Golden Witch', 'Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch']",1786
857,857,"Higashikata, Jousuke",[],['JoJo no Kimyou na Bouken Part 8: JoJolion'],1783
858,858,"Mikk, Tyki","['D.Gray-man', 'D.Gray-man Hallow']",['D.Gray-man'],1766
859,859,"Speeddraw, Fremy","['Rokka no Yuusha', 'Rokka no Yuusha Picture Drama']","['Rokka no Yuusha', 'Rokka no Yuusha', 'Rokka no Yuusha Archive']",1761
860,860,"Kotegawa, Yui","['To LOVE-Ru Darkness OVA', 'To LOVE-Ru', 'To LOVE-Ru OVA']","['To LOVE-Ru Darkness: Little Sisters', 'To LOVE-Ru', 'To LOVE-Ru Darkness']",1759
861,861,"Senji, Kiyomasa","['Deadman Wonderland: Akai Knife Tsukai', 'Deadman Wonderland']",['Deadman Wonderland'],1758
862,862,Scar,"['Fullmetal Alchemist', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist: Premium Collection']",['Fullmetal Alchemist'],1758
863,863,"Kasuga, Arata","['Trinity Seven', 'Trinity Seven: Nanatsu no Taizai to Nana Madoushi', 'Trinity Seven Movie 1: Eternity Library to Alchemic Girl']","['Trinity Seven: 7-nin no Mashotsukai', 'Trinity Seven: 7-nin no Mashotsukai The Novel', 'Trinity Seven: 7-nin no Mashotsukai Comic Anthology']",1755
864,864,"Aragaki, Ayase","['Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials']","['Ore no Imouto ga Konnani Kawaii Wake ga Nai: Ayase If', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai']",1755
865,865,Yue,"['Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou Specials', 'Arifureta Shokugyou de Sekai Saikyou Recap']","['Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Nichijou de Sekai Saikyou']",1752
866,866,"Tanaka, Aiko",[],['Oyasumi Punpun'],1752
867,867,Tsunade,"['Naruto', 'Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!', 'Naruto: Shippuuden']","['Naruto', 'Rock Lee no Seishun Full-Power Ninden']",1752
868,868,Reg,"['Made in Abyss', 'Made in Abyss Movie 3: Fukaki Tamashii no Reimei', 'Made in Abyss Movie 1: Tabidachi no Yoake']","['Made in Abyss', 'Made in Abyss: Koushiki Anthology']",1748
869,869,"Kaizaki, Arata","['ReLIFE', 'ReLIFE: Kanketsu-hen', 'ReLIFE: Kanketsu-hen Specials']",['ReLIFE'],1744
870,870,"Yamato, Kira","['Mobile Suit Gundam SEED', 'Mobile Suit Gundam SEED Destiny', 'Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future']","['Mobile Suit Gundam SEED', 'Mobile Suit Gundam SEED', 'Mobile Suit Gundam SEED Destiny: The Edge']",1742
871,871,Tatsu,"['Gokushufudou', 'Gokushufudou Part 2']",['Gokushufudou'],1741
872,872,"Kurosawa, Kakeru",[],"['Onanie Master Kurosawa', 'Onanie Master Kurosawa: After the Juvenile']",1741
873,873,"Ootani, Atsushi",['Lovely★Complex'],"['Lovely★Complex', 'Lovely★Complex Two']",1738
874,874,Saber,"['Fate/Extra: Last Encore', 'Fate/Extra: Last Encore - Illustrias Tendousetsu', 'Toshiwasure Guda Guda Order 2016']","['Fate/Extra', 'Fate/Extra', 'Fate/Extra CCC']",1734
875,875,"Lan, Wangji","['Mo Dao Zu Shi', 'Mo Dao Zu Shi: Xian Yun Pian', 'Mo Dao Zu Shi: Wanjie Pian']",['Mo Dao Zu Shi'],1732
876,876,"Mitsuba, Sousuke",['Jibaku Shounen Hanako-kun'],"['Jibaku Shounen Hanako-kun', 'Houkago Shounen Hanako-kun']",1728
877,877,"Manbagi, Rumiko",[],"['Komi-san wa, Comyushou desu.']",1728
878,878,"Kani, Nayuta","['Imouto sae Ireba Ii.', 'Imouto sae Ireba Ii. (ONA)']",['Imouto sae Ireba Ii.'],1727
879,879,"Kanamori, Sayaka","['Eizouken ni wa Te wo Dasu na!', 'Eizouken Mini Anime']",['Eizouken ni wa Te wo Dasuna!'],1724
880,880,Satou,"['Ajin 2nd Season OVA', 'Ajin Part 1: Shoudou', 'Ajin Part 2: Shoutotsu']",['Ajin'],1722
881,881,"Mashiro, Moritaka","['Bakuman.', 'Bakuman. 2nd Season', 'Bakuman. 3rd Season']","['Bakuman.', 'Bakuman.', 'Bakuman. Bangai-hen']",1722
882,882,"Usami, Akihiko","['Junjou Romantica', 'Junjou Romantica 2', 'Junjou Romantica Special']","['Junjou Romantica', 'Junjou Minimum', 'Junjou Romantica dj - Chika*Chika Cheap★Star']",1722
883,883,"Miniwa, Tsumiki","['Acchi Kocchi', 'Acchi Kocchi: Place=Princess']",['Acchi Kocchi'],1714
884,884,"Saten, Ruiko","['Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun: Motto Marutto Railgun', 'Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara']","['Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun SS', 'Shinyaku Toaru Majutsu no Index']",1714
885,885,Phil,"['Yakusoku no Neverland', 'Yakusoku no Neverland 2nd Season']",['Yakusoku no Neverland'],1713
886,886,Bojji,['Ousama Ranking'],['Ousama Ranking'],1712
887,887,"Kiyose, Haiji",['Kaze ga Tsuyoku Fuiteiru'],['Kaze ga Tsuyoku Fuiteiru'],1711
888,888,Kamui,"['Gintama', 'Gintama Movie 1: Shinyaku Benizakura-hen', ""Gintama'""]",['Gintama'],1708
889,889,Calcifer,['Howl no Ugoku Shiro'],[],1704
890,890,"Hino, Rei","['Bishoujo Senshi Sailor Moon', 'Bishoujo Senshi Sailor Moon R: The Movie', 'Bishoujo Senshi Sailor Moon S']","['Bishoujo Senshi Sailor Moon', 'Code Name wa Sailor V']",1702
891,891,"Kousaka, Honoka","['Bokura no Live Kimi to no Life', 'Snow Halation', 'Natsu-iro Egao de 1, 2, Jump!']","['Love Live!', 'Love Live! School Idol Diary']",1699
892,892,"Koibuchi, Kuranosuke","['Kuragehime', 'Kuragehime: Eiyuu Retsuden☆']",['Kuragehime'],1695
893,893,"Kobayashi, Rindou","['Shokugeki no Souma: Ni no Sara OVA', 'Shokugeki no Souma: San no Sara', 'Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen']",['Shokugeki no Souma'],1694
894,894,"Blood, Staz Charlie","['Blood Lad', 'Blood Lad: Wagahai wa Neko de wa Nai']","['Blood Lad', 'Brat★Blood Lad', 'Blood Lad']",1692
895,895,Sniper Kamen,['Tenkuu Shinpan'],['Tenkuu Shinpan'],1690
896,896,"Kajou, Ayame",['Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai'],"['Shimoneta to Iu Gainen ga Sonzai shinai Taikutsu na Sekai: Manmaru-hen', 'Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai']",1682
897,897,"Tsuruga, Ren",['Skip Beat!'],['Skip Beat!'],1680
898,898,"Morita, Shinobu","['Hachimitsu to Clover', 'Hachimitsu to Clover II', 'Hachimitsu to Clover Specials']",['Hachimitsu to Clover'],1674
899,899,"Araragi, Karen","['Nisemonogatari', 'Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin', 'Bakemonogatari']","['Monogatari Series: First Season', 'Monogatari Series: Off Season', 'Monogatari Series: Second Season']",1673
900,900,"Oda, Sakunosuke","['Bungou Stray Dogs 2nd Season', 'Bungou Stray Dogs: Dead Apple', 'Bungou Stray Dogs Wan!']","['Bungou Stray Dogs: Beast', 'Bungou Stray Dogs']",1669
901,901,"Uzui, Tengen","['Kimetsu no Yaiba: Yuukaku-hen', 'Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen']",['Kimetsu no Yaiba'],1667
902,902,"Kanzaki, Urumi",['Great Teacher Onizuka'],"['GTO', 'GTO: Shonan 14 Days']",1664
903,903,"Zoldyck, Illumi","['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter (2011)']",['Hunter x Hunter'],1664
904,904,"Watanabe, You","['Kimi no Kokoro wa Kagayaiteru kai?', 'Love Live! Sunshine!!', 'Koi ni Naritai Aquarium']","['Love Live! Sunshine!!', 'Love Live! Sunshine!! School Idol Diary', 'Love Live! Sunshine!!: School Idol Diary']",1660
905,905,"Thierry, Laurent",['Great Pretender'],[],1657
906,906,"Ogino, Chihiro",['Sen to Chihiro no Kamikakushi'],[],1657
907,907,"Kirisu, Mafuyu","['Bokutachi wa Benkyou ga Dekinai', 'Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru', 'Bokutachi wa Benkyou ga Dekinai!']",['Bokutachi wa Benkyou ga Dekinai'],1652
908,908,Pingu,"['Pingu in the City', 'Pingu in the City (2018)']",[],1646
909,909,"Marvell, Wendy","['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko']","['Fairy Tail', 'Fairy Girls', 'Fairy Tail: Blue Mistral']",1639
910,910,"Fibel, Sistine",['Rokudenashi Majutsu Koushi to Akashic Records'],"['Rokudenashi Majutsu Koushi to Akashic Records', 'Rokudenashi Majutsu Koushi to Akashic Records']",1638
911,911,"Sasaki, Kojirou",[],['Vagabond'],1638
912,912,"Kujou, Karen","['Kiniro Mosaic', 'Hello!! Kiniro Mosaic', 'Kiniro Mosaic: Pretty Days']",['Kiniro Mosaic'],1633
913,913,The Count of Monte Cristo,['Gankutsuou'],"['Gankutsuou', 'Gankutsuou']",1633
914,914,Kaonashi,['Sen to Chihiro no Kamikakushi'],[],1632
915,915,"Iwasawa, Masami","['Angel Beats!', 'Angel Beats! Specials']","['Angel Beats!: Track Zero', 'Angel Beats! The 4-koma: Bokura no Sensen Koushinkyoku♪', ""Angel Beats!: Heaven's Door""]",1631
916,916,"Nendou, Riki","['Saiki Kusuo no Ψ-nan', 'Saiki Kusuo no Ψ-nan 2', 'Saiki Kusuo no Ψ-nan: Kanketsu-hen']","['Saiki Kusuo no Ψ-nan', 'Chounouryokusha Saiki Kusuo no Ψ-nan 0']",1630
917,917,"Shimura, Shinpachi","['Gintama', 'Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi', 'Gintama: Shiroyasha Koutan']","['Gintama', '3-nen Z-gumi Ginpachi-sensei', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",1630
918,918,"Takishima, Kei",['Special A'],"['Special A', 'Special A: Jougai Rantou']",1623
