no,rank,character,animeography,mangaography,favorites
727,727,"Fudou, Akira","['Devilman', 'Devilman: Tanjou-hen', 'Devilman: Yochou Sirene-hen']","['Devilman', 'Neo Devilman', 'Amon: Devilman Mokushiroku']",2225
728,728,King,"['Nanatsu no Taizai', 'Nanatsu no Taizai OVA', 'Nanatsu no Taizai: Seisen no Shirushi']","['Nanatsu no Taizai', 'Fairy Tail x Nanatsu no Taizai Christmas Special', 'Mayoe! Nanatsu no Taizai Gakuen!']",2224
729,729,"Forger, Anya","['Spy x Family', 'Spy x Family Part 2']",['Spy x Family'],2222
730,730,"Shirasaki, Kaori","['Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou Specials', 'Arifureta Shokugyou de Sekai Saikyou 2nd Season']","['Arifureta Shokugyou de Sekai Saikyou', 'Arifureta Shokugyou de Sekai Saikyou']",2216
731,731,"Testarossa, Fate","['Mahou Shoujo Lyrical Nanoha', ""Mahou Shoujo Lyrical Nanoha A's"", 'Mahou Shoujo Lyrical Nanoha StrikerS']","['Mahou Shoujo Lyrical Nanoha StrikerS THE COMICS', ""Mahou Shoujo Lyrical Nanoha A's"", 'Mahou Shoujo Lyrical Nanoha: Movie 1st the Comics']",2216
732,732,"Hekmatyar, Koko","['Jormungand', 'Jormungand: Perfect Order']",['Jormungand'],2214
733,733,"Kanroji, Mitsuri","['Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen']",['Kimetsu no Yaiba'],2211
734,734,"Konno, Yuuki","['Sword Art Online II', 'Sword Art Online II: Sword Art Offline II', 'Sword Art Online: Alicization - War of Underworld 2nd Season']","[""Sword Art Online: Mother's Rosario"", 'Sword Art Online']",2203
735,735,"Trancy, Alois","['Kuroshitsuji II', 'Kuroshitsuji II Specials']",[],2203
736,736,"de Jarjeyes, Oscar François","['Versailles no Bara', 'Versailles no Bara: Seimei Aru Kagiri Aishite', 'La Rose de Versailles']","['Versailles no Bara', 'Versailles no Bara Gaiden', 'Berubara Kids']",2201
737,737,"Yonsa, Balsa",['Seirei no Moribito'],"['Seirei no Moribito', 'Moribito Series', 'Yami no Moribito']",2198
738,738,"Sasaki, Haise","['Tokyo Ghoul:re', 'Tokyo Ghoul:re 2nd Season']",['Tokyo Ghoul:re'],2191
739,739,"Yagami, Kazuma",['Kaze no Stigma'],"['Kaze no Stigma: Kouen no Miko', 'Kaze no Stigma']",2186
740,740,Watashi,"['Yojouhan Shinwa Taikei', 'Yojouhan Shinwa Taikei Specials']",[],2180
741,741,Pino,['Ergo Proxy'],['Ergo Proxy: Centzon Hitchers and Undertaker'],2180
742,742,"Ogiwara, Sayu",['Hige wo Soru. Soshite Joshikousei wo Hirou.'],"['Hige wo Soru. Soshite Joshikousei wo Hirou.', 'Hige wo Soru. Soshite Joshikousei wo Hirou.']",2179
743,743,"Vessalius, Oz","['Pandora Hearts', 'Pandora Hearts Omake']","['Pandora Hearts', 'Pandora Hearts: Caucus Race', 'Gilbert in Wonderland']",2176
744,744,"Nishimiya, Yuzuru",['Koe no Katachi'],['Koe no Katachi'],2175
745,745,"Tokoyami, Fumikage","['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!']","['Boku no Hero Academia', 'Boku no Hero Academia Smash!']",2174
746,746,Haku,['Sen to Chihiro no Kamikakushi'],[],2173
747,747,Twenty-Fifth Bam,['Kami no Tou'],['Tower of God'],2166
748,748,"Kaizuka, Inaho","['Aldnoah.Zero', 'Aldnoah.Zero 2nd Season', 'Aldnoah.Zero Extra Archives']","['Aldnoah.Zero', 'Aldnoah.Zero Anthology Comic']",2164
749,749,Siesta,"['Tantei wa Mou, Shindeiru.']","['Tantei wa Mou, Shindeiru.', 'Tantei wa Mou, Shindeiru.', 'Tantei wa Mou, Shindeiru.: The Lost Memory']",2163
750,750,"Watanuki, Kimihiro","['xxxHOLiC Movie: Manatsu no Yoru no Yume', 'xxxHOLiC', 'xxxHOLiC: Kei']","['xxxHOLiC', 'Clamp in Wonderland EX', 'xxxHOLiC: AnotherHOLiC']",2157
751,751,"Dreyar, Laxus","['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko']","['Fairy Tail Gaiden', 'Fairy Tail', 'Tale of Fairy Tail: Ice Trail']",2149
752,752,"Kuwabara, Kazuma","['Yuu☆Yuu☆Hakusho', 'Yuu☆Yuu☆Hakusho (Movie)', 'Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna']",['Yuu☆Yuu☆Hakusho'],2149
753,753,"Echizen, Ryouma","['Tennis no Ouji-sama', 'Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game', 'Tennis no Ouji-sama: Zenkoku Taikai-hen']","['Tennis no Ouji-sama', 'Houkago no Ouji-sama', 'Shin Tennis no Ouji-sama']",2145
754,754,"Uenoyama, Ritsuka","['Given', 'Given Movie', 'Given: Uragawa no Sonzai']",['Given'],2144
755,755,Ymir,"['Shingeki no Kyojin', 'Shingeki no Kyojin Picture Drama', 'Shingeki no Kyojin Movie 1: Guren no Yumiya']","['Shingeki no Kyojin', 'Shingeki! Kyojin Chuugakkou', 'Sungeki no Kyojin']",2140
756,756,"Nanba, Mutta","['Uchuu Kyoudai', 'Uchuu Kyoudai: Itten no Hikari', 'Uchuu Kyoudai: Number Zero']",['Uchuu Kyoudai'],2139
757,757,"Jakuzure, Nonon","['Kill la Kill', 'Kill la Kill Specials']",['Kill la Kill'],2131
758,758,Aka no Saber,"['Fate/stay night', 'Fate/Apocrypha', 'Fate/Grand Order']","['Fate/Apocrypha', 'Type-Moon Gakuen: Chibichuki!', 'Fate/Grand Order: Epic of Remnant - Ashu Tokuiten IV - Kinki Kourin Teien Salem - Itan naru Salem']",2125
759,759,"Suwa, Hiroto","['Orange', 'Orange: Mirai']",['Orange'],2118
760,760,"Kafuu, Chino","['Gochuumon wa Usagi Desu ka?', 'Gochuumon wa Usagi Desu ka??', 'Gochuumon wa Usagi Desu ka??: Dear My Sister']","['Gochuumon wa Usagi desu ka?', 'Gochuumon wa Usagi desu ka? Anthology Comic']",2117
761,761,"Ghirga, Narancia","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps']","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori']",2117
762,762,"Nijimura, Okuyasu","['JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'Kishibe Rohan wa Ugokanai']","['JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', ""The Book: JoJo's Bizarre Adventure 4th Another Day"", 'Kishibe Rohan Louvre e Iku']",2114
763,763,"Shirai, Kuroko","['Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun: Motto Marutto Railgun', 'Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara']","['Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun', 'Toaru Kagaku no Railgun SS', 'Toaru Majutsu no Index']",2111
764,764,"Sonoda, Umi","['Bokura no Live Kimi to no Life', 'Snow Halation', 'Natsu-iro Egao de 1, 2, Jump!']","['Love Live!', 'Love Live! School Idol Diary', 'Love Live! School Idol Diary']",2104
765,765,"Hazuki, Nagisa","['Free!', 'Free!: FrFr - Short Movie', 'Free!: Eternal Summer']","['High☆Speed!', 'High☆Speed!']",2095
766,766,"Kurosaki, Tasuku",[],['Dengeki Daisy'],2085
767,767,"Li, Shaoran","['Cardcaptor Sakura', 'Cardcaptor Sakura Movie 1', 'Cardcaptor Sakura Movie 2: Fuuin Sareta Card']","['Cardcaptor Sakura', 'Cardcaptor Sakura Extras', 'Cardcaptor Sakura: Clear Card-hen']",2083
