no,Kode Saham,Nama Perusahaan
515,PSKT,Red Planet Indonesia Tbk.
516,PSSI,Pelita Samudera Shipping Tbk.
517,PTBA,Bukit Asam Tbk.
518,PTIS,Indo Straits Tbk.
519,PTPP,PP (Persero) Tbk.
520,PTRO,Petrosea Tbk.
521,PTSN,Sat Nusapersada Tbk
522,PTSP,Pioneerindo Gourmet International Tbk.
523,PUDP,Pudjiadi Prestige Tbk.
524,PURE,Trinitan Metals and Minerals Tbk.
525,PWON,Pakuwon Jati Tbk.
526,PYFA,Pyridam Farma Tbk
527,PZZA,Sarimelati Kencana Tbk.
528,RAJA,Rukun Raharja Tbk.
529,RALS,Ramayana Lestari Sentosa Tbk.
530,RANC,Supra Boga Lestari Tbk.
531,RBMS,Ristia Bintang Mahkotasejati Tbk.
532,RDTX,Roda Vivatex Tbk
533,REAL,Repower Asia Indonesia Tbk.
534,RELI,Reliance Sekuritas Indonesia Tbk.
535,RICY,Ricky Putra Globalindo Tbk
536,RIGS,Rig Tenders Indonesia Tbk.
537,RIMO,Rimo International Lestari Tbk
538,RISE,Jaya Sukses Makmur Sentosa Tbk.
539,RMBA,Bentoel Internasional Investama Tbk.
540,RODA,Pikko Land Development Tbk.
541,ROTI,Nippon Indosari Corpindo Tbk.
542,RUIS,Radiant Utama Interinsco Tbk.
543,SAFE,Steady Safe Tbk
544,SAME,Sarana Meditama Metropolitan Tbk.
545,SAPX,Satria Antaran Prima Tbk.
546,SATU,Kota Satu Properti Tbk.
547,SCBD,Danayasa Arthatama Tbk.
548,SCCO,Supreme Cable Manufacturing & Commerce Tbk.
549,SCMA,Surya Citra Media Tbk.
550,SCPI,Merck Sharp Dohme Pharma Tbk.
551,SDMU,Sidomulyo Selaras Tbk.
552,SDPC,Millennium Pharmacon International Tbk.
553,SDRA,Bank Woori Saudara Indonesia 1906 Tbk.
554,SFAN,Surya Fajar Capital Tbk.
555,SGRO,Sampoerna Agro Tbk.
556,SHID,Hotel Sahid Jaya International Tbk.
557,SHIP,Sillo Maritime Perdana Tbk.
558,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.
559,SILO,Siloam International Hospitals Tbk.
560,SIMA,Siwani Makmur Tbk
561,SIMP,Salim Ivomas Pratama Tbk.
562,SINI,Singaraja Putra Tbk.
563,SIPD,Sierad Produce Tbk.
564,SKBM,Sekar Bumi Tbk.
565,SKLT,Sekar Laut Tbk.
566,SKRN,Superkrane Mitra Utama Tbk.
567,SKYB,Northcliff Citranusa Indonesia Tbk.
568,SLIS,Gaya Abadi Sempurna Tbk.
569,SMAR,Smart Tbk.
570,SMBR,Semen Baturaja (Persero) Tbk.
571,SMCB,Solusi Bangun Indonesia Tbk.
572,SMDM,Suryamas Dutamakmur Tbk.
573,SMDR,Samudera Indonesia  Tbk.
574,SMGR,Semen Indonesia (Persero) Tbk.
575,SMKL,Satyamitra Kemas Lestari Tbk.
576,SMMA,Sinarmas Multiartha Tbk.
577,SMMT,Golden Eagle Energy Tbk.
578,SMRA,Summarecon Agung Tbk.
579,SMRU,SMR Utama Tbk.
580,SMSM,Selamat Sempurna Tbk.
581,SOCI,Soechi Lines Tbk.
582,SONA,Sona Topas Tourism Industry Tbk.
583,SOSS,Shield On Service Tbk.
584,SOTS,Satria Mega Kencana Tbk.
585,SPMA,Suparma Tbk.
586,SPTO,Surya Pertiwi Tbk.
587,SQMI,Wilton Makmur Indonesia Tbk.
588,SRAJ,Sejahteraraya Anugrahjaya Tbk.
589,SRIL,Sri Rejeki Isman Tbk.
590,SRSN,Indo Acidatama Tbk
591,SRTG,Saratoga Investama Sedaya Tbk.
592,SSIA,Surya Semesta Internusa Tbk.
593,SSMS,Sawit Sumbermas Sarana Tbk.
594,SSTM,Sunson Textile Manufacture Tbk
