no,rank,title,type,total_eps,show_time,member,score,link_page
13329,"
13329
",Sayounara Concert,Music,1,Jun 1989 - Jun 1989,110,N/A,https://myanimelist.net/anime/40625/Sayounara_Concert
13330,"
13330
",Sayounara Kaba-kun,Movie,1,1989 - 1989,130,N/A,https://myanimelist.net/anime/28017/Sayounara_Kaba-kun
13331,"
13331
",Sazae-san: Dawn to Ikka de Hawaii Ryokou,Special,1,1998 - 1998,396,N/A,https://myanimelist.net/anime/28615/Sazae-san__Dawn_to_Ikka_de_Hawaii_Ryokou
13332,"
13332
",Sazae-san: Valentine-hen,Special,1,Feb 2021 - Feb 2021,134,N/A,https://myanimelist.net/anime/47542/Sazae-san__Valentine-hen
13333,"
13333
",Scarecrowman,TV,26,Jul 2008 - Dec 2008,381,N/A,https://myanimelist.net/anime/4684/Scarecrowman
13334,"
13334
",Science Anime: Choudendou Monogatari,Special,1,1988 - 1988,132,N/A,https://myanimelist.net/anime/27961/Science_Anime__Choudendou_Monogatari
13335,"
13335
",Scripta Volant,Movie,1,2011 - 2011,203,N/A,https://myanimelist.net/anime/33318/Scripta_Volant
13336,"
13336
",Season's Greetings from dwarf,ONA,2,Dec 2016 - Dec 2019,168,N/A,https://myanimelist.net/anime/37018/Seasons_Greetings_from_dwarf
13337,"
13337
",Secret of Moldiver: Himitsu Daihyakka,OVA,1,Jan 1993 - Jan 1993,304,N/A,https://myanimelist.net/anime/39805/Secret_of_Moldiver__Himitsu_Daihyakka
13338,"
13338
",Sect,Music,1,Jun 2014 - Jun 2014,164,N/A,https://myanimelist.net/anime/39171/Sect
13339,"
13339
",Seibu Tetsudou Ekiin Tako-chan,ONA,12,Apr 2011 - Feb 2012,245,N/A,https://myanimelist.net/anime/10850/Seibu_Tetsudou_Ekiin_Tako-chan
13340,"
13340
",Seigi,Music,1,May 2019 - May 2019,76,N/A,https://myanimelist.net/anime/50007/Seigi
13341,"
13341
",Seikimatsu Leader Gaiden Takeshi!,Special,1,Jul 1998 - Jul 1998,312,N/A,https://myanimelist.net/anime/16245/Seikimatsu_Leader_Gaiden_Takeshi
13342,"
13342
",Seisenshi Dunbine Memorial,Special,3,Aug 2000 - Aug 2000,561,N/A,https://myanimelist.net/anime/20975/Seisenshi_Dunbine_Memorial
13343,"
13343
",Seisho Gensou Fu: Adam to Eve,Movie,1,1951 - 1951,211,N/A,https://myanimelist.net/anime/28693/Seisho_Gensou_Fu__Adam_to_Eve
13344,"
13344
",Seishun,Movie,1,2008 - 2008,92,N/A,https://myanimelist.net/anime/40633/Seishun
13345,"
13345
",Seishun Anime Zenshuu Specials,Special,2,Oct 1987 - Oct 1997,281,N/A,https://myanimelist.net/anime/32897/Seishun_Anime_Zenshuu_Specials
