no,nama file,tahun,tautan
14,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran Lampung (1959-1983),2010,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-lampung-19591983-1630543559
15,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran DI Aceh (1960-1981),2010,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-di-aceh-19601981-1630542944
16,Daftar Arsip Tekstual Departemen Pertahanan Keamanan Seri Legiun Veteran RI Daerah Pendaftaran Bengkulu (1960-1981),2010,https://anri.go.id//download/daftar-arsip-tekstual-departemen-pertahanan-keamanan-seri-legiun-veteran-ri-daerah-pendaftaran-bengkulu-19601981-1630542807
17,Daftar Arsip Kartografi BPS Sensus 1980 Prov. NTT,2009,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-ntt-1630542632
18,Daftar Arsip Kartografi BPS Sensus 1980 Prov. NTB,2009,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-ntb-1630542521
19,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Irian Jaya,2009,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-irian-jaya-1630541757
20,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Bali,2009,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-bali-1630541645
21,Daftar Arsip Kartografi BPS 1980 Prov Maluku,2009,https://anri.go.id//download/daftar-arsip-kartografi-bps-1980-prov-maluku-1630541539
22,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Jawa Timur,2007,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-jawa-timur-1630542484
23,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Jawa Tengah,2007,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-jawa-tengah-1630541872
24,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Jawa Barat,2007,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-jawa-barat-1630541820
25,Daftar Arsip Kartografi BPS Sensus 1980 Prov. DKI Jakarta,2007,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-dki-jakarta-1630541724
26,Daftar Arsip Kartografi BPS Sensus 1980 Prov. DI Yogyakarta,2007,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-di-yogyakarta-1630541696
27,Daftar Arsip Kartografi BPS Sensus 1970 Prov. DKI Jakarta,2007,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1970-prov.-dki-jakarta-1630541569
28,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Sumatera Selatan,2006,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-sumatera-selatan-1630542692
29,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Jambi,2006,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-jambi-1630541781
30,Daftar Arsip Kartografi BPS Sensus 1980 Prov. Bengkulu,2006,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov.-bengkulu-1630541674
31,Daftar Arsip Kartografi BPS Sensus 1980 Prov Lampung,2006,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1980-prov-lampung-1630541618
32,Daftar Arsip Rekaman Suara DPR-RI 1990-1992,1990,https://anri.go.id//download/daftar-arsip-rekaman-suara-dprri-19901992-1586219924
33,Daftar Arsip Rekaman Suara DPR-RI 1989-1993,1989,https://anri.go.id//download/daftar-arsip-rekaman-suara-dprri-19891993-1586219898
34,"Daftar Arsip Tekstual Sekretariat Negara Seri Tromol Pos 5000 Prov. Sumatera Barat, Riau, Jambi, Sumatera Selatan (1988-1990)",1988,https://anri.go.id//download/daftar-arsip-tekstual-sekretariat-negara-seri-tromol-pos-5000-prov.-sumatera-barat-riau-jambi-sumatera-selatan-19881990-1630544738
35,Daftar Arsip Tekstual Sekretariat Negara Seri Tromol Pos 5000 Prov. Jawa Barat (1988-1990),1988,https://anri.go.id//download/daftar-arsip-tekstual-sekretariat-negara-seri-tromol-pos-5000-prov.-jawa-barat-19881990-1630544702
