no,nama perusahaan,jenis perizinan,tautan detail
243,ANAK TANTANG MANDIRI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/15008?jp=1
244,ANANDA AUSTIN HARUMI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/11504?jp=7
245,ANANG ARY WICAKSONO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/12763?jp=1
246,ANARA BERKAH SAHABAT,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10094?jp=7
247,ANASTASIA WORO,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/13340?jp=1
248,ANCO MILLENIUM INDONESIA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/375?jp=1
249,ANDALAN BERKAH BERSAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16497?jp=7
250,ANDALAN BHARA UTAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/14330?jp=7
251,ANDALAN ENERGI NUSANTARA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/380?jp=1
252,ANDALAN MEGA BERSAMA,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/16034?jp=7
253,ANDALAN SATRIA ABADI,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/384?jp=1
254,ANDALAN SATRIA CEMERLANG,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/10021?jp=7
255,ANDALAN SATRIA LESTARI,IUP OPK,https://modi.esdm.go.id/portal/detailPerusahaan/13186?jp=7
256,ANDALAN TAMBANG MANGAN PERSADA,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/9740?jp=1
257,ANDALAN TERANG,IUP,https://modi.esdm.go.id/portal/detailPerusahaan/385?jp=1
