no,tautan,gambar,tipe,judul,lokasi,harga
6331,https://infolelang.bri.co.id/home/detailAsset?id_aset=S7O68&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/PHOTO2021030815151820_20211126094337.jpg,jual_damai,Tanah dan Bangunan Rumah SHM No. 376 an : Muhammad Riyanto,"MEMPURA, SIAK KAB.",IDR 200.000.000
6332,https://infolelang.bri.co.id/home/detailAsset?id_aset=SRLEA&id_category=tanah,https://infolelang.bri.co.id/uploads/images//2021/11/PHOTO2021030815151802_20211126105245.jpg,jual_damai,Tanah Kosong SHM No 133 an : Muhammad Riyanto,"MEMPURA, SIAK KAB.",IDR 72.000.000
6333,https://infolelang.bri.co.id/home/detailAsset?id_aset=LBNJD&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/PHOTO2021030815141113_20211126114548.jpg,jual_damai,Tanah dan Bangunan Rumah SHM No. 1638 an : Maidalena,"LUBUK DALAM, SIAK KAB.",IDR 100.000.000
6334,https://infolelang.bri.co.id/home/detailAsset?id_aset=A73DQ&id_category=tanah,https://infolelang.bri.co.id/uploads/images//2021/11/PHOTO2021060310240501_20211126143654.jpg,jual_damai,Tanah Kosong SHM No. 213 an :Bahagia Sembiring,"DAYUN, SIAK KAB.",IDR 95.000.000
6335,https://infolelang.bri.co.id/home/detailAsset?id_aset=XZUWM&id_category=tanah,https://infolelang.bri.co.id/uploads/images/,jual_damai,Tanah Kosong SHM No. 216 an : Bahagia Sembiring,"DAYUN, SIAK KAB.",IDR 68.000.000
6336,https://infolelang.bri.co.id/home/detailAsset?id_aset=E4CJV&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/DEPAN_20211126101405.jpg,jual_damai,TANAH DAN BANGUNAN RUKO YANG BERADA DI ATASANYA,"PANGKALAN KERINCI, PELALAWAN KAB.",IDR 760.000.000
6337,https://infolelang.bri.co.id/home/detailAsset?id_aset=D92OH&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/WhatsAppImage20211126at1431242_20211126144534.jpg,jual_damai,RUKO TENGKU MAZRUN,"PANGKALANKERINCI, PELALAWAN KAB.",IDR 500.000.000
6338,https://infolelang.bri.co.id/home/detailAsset?id_aset=4GO3B&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Kompres1_20211126103439.jpg,jual_damai,Dijual Rumah ,"RAMBAH, ROKAN HULU KAB.",IDR 320.000.000
6339,https://infolelang.bri.co.id/home/detailAsset?id_aset=6WLU7&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Tampaklainnya356_20211126104316.jpg,jual_damai,DIJUAL RUKO I PINTU I LANTAI ,"UJUNG BATU, ROKAN HULU KAB.",IDR 400.000.000
6340,https://infolelang.bri.co.id/home/detailAsset?id_aset=FDZN6&id_category=tanah,https://infolelang.bri.co.id/uploads/images//2021/11/Kompres4_20211126114815.jpg,jual_damai,DILELANG TANAH ,"RAMBAH SAMO, ROKAN HULU KAB.",IDR 250.000.000
6341,https://infolelang.bri.co.id/home/detailAsset?id_aset=F8K4A&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/kompresrumah1_20211126115511.jpg,jual_damai,DILELANG TANAH DAN BANGUNAN RUMAH,"RAMBAH SAMO, ROKAN HULU KAB.",IDR 350.000.000
6342,https://infolelang.bri.co.id/home/detailAsset?id_aset=1GJ6D&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/Kompres1_20211126120704.jpg,jual_damai,DILELANG TANAH DAN BANGUNAN RUMAH,"UJUNG BATU, ROKAN HULU KAB.",IDR 400.000.000
6343,https://infolelang.bri.co.id/home/detailAsset?id_aset=NRZP3&id_category=tanah,https://infolelang.bri.co.id/uploads/images//2021/11/20210812_160449depan_20211126121257.jpg,jual_damai,DILELANG TANAH,"UJUNG BATU, ROKAN HULU KAB.",IDR 500.000.000
6344,https://infolelang.bri.co.id/home/detailAsset?id_aset=3O4RK&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/IMG20211123WA0037_20211123154233.jpg,jual_damai,bangunan rumah,"RENGAT, INDRAGIRI HULU KAB.",IDR 648.000.000
6345,https://infolelang.bri.co.id/home/detailAsset?id_aset=8FVLO&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/IMG20211123WA0048_20211123153909.jpg,jual_damai,tanah dan bangunan rumah tempat tinggal,"WIL.RENGAT LAINNYA, INDRAGIRI HULU KAB.",IDR 250.000.000
6346,https://infolelang.bri.co.id/home/detailAsset?id_aset=MAUKG&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/IMG20211123WA0054_20211123155035.jpg,jual_damai,RUKO DUA PINTU SATU LANTAI,"SIBERIDA, INDRAGIRI HULU KAB.",IDR 500.000.000
6347,https://infolelang.bri.co.id/home/detailAsset?id_aset=N7Y84&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/10/TAMPAKDEPANJALAN3_20211022095423.jpg,jual_damai,bangunan rumah,"RENGAT, INDRAGIRI HULU KAB.",IDR 837.600.000
6348,https://infolelang.bri.co.id/home/detailAsset?id_aset=UZW5N&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/4_20211126110540.jpg,jual_damai,RUMAH PRIBADI,"MANDAU, BENGKALIS KAB.",IDR 250.000.000
